HJD	Epoch	O-C	O-Cerr	Source
2411855.844	-8551	-0.0361	0.0605	AAVSO
2412205.112	-8448	0.1356	0.0503	AAVSO
2412554.196	-8345	0.1226	0.0299	AAVSO
2412903.184	-8242	0.0141	0.0197	AAVSO
2413252.359	-8139	0.093	0.0185	AAVSO
2413601.451	-8036	0.0877	0.0175	AAVSO
2414496.182	-7772	0.0472	0.0121	AAVSO
2414991.001	-7626	0.0302	0.0818	AAVSO
2415394.3	-7507	0.0039	0.0179	AAVSO
2416116.203	-7294	-0.0106	0.0563	AAVSO
2416259.101	-7252	0.0623	0.05	Szabados1989 Arch.
2416502.643	-7180	0.0503	0.0317	AAVSO
2416933.124	-7053	0.0918	0.0256	AAVSO
2417668.534	-6836	0.0271	0.0203	AAVSO
2418119.82	-6703	0.0628	0.05	Szabados1989 Arch.
2420278.701	-6066	-0.0321	0.05	Szabados1989 Arch.
2421648.047	-5662	0.042	0.05	Szabados1989 Arch.
2423810.29	-5024	-0.0801	0.05	Szabados1989 Arch.
2425728.752	-4458	0.0454	0.05	Szabados1989 Arch.
2434560.628	-1852	-0.0854	0.0153	Mitchell1964
2434560.806	-1852	0.0919	0.043	AAVSO
2434920.003	-1746	0.0252	0.0136	Mitchell1964
2434920.057	-1746	0.0785	0.0141	AAVSO
2434920.515	-1746	0.0621	0.05	Szabados1989 Arch.
2435201.826	-1663	0.0623	0.02	Szabados1989 Arch.
2437319.87	-1038	0.2762	0.0921	AAVSO
2440339.938	-147	0.0152	0.05	Szabados1989 Arch.
2440678.439	-47	0.0626	0.0149	Pel1976
2440770.398	-20	0.0357	0.02	Szabados1989 Arch.
2441732.609	264	0.1643	0.1066	AAVSO
2442410.823	464	0.0458	0.02	Szabados1989 Arch.
2443234.389	707	0.0151	0.02	Szabados1989 Arch.
2444393.079	1049	0.0432	0.0026	Gieren1981
2444417.257	1056	0.0219	0.02	Szabados1989 Arch.
2444420.167	1057	0.0173	0.0417	Eggen1985
2444420.222	1057	0.0722	0.0414	Berdnikov2008
2444681.614	1134	0.0145	0.02	Szabados1989 Arch.
2445057.165	1245	-0.1706	0.0165	Eggen1985
2447873.818	2076	-0.0146	0.0112	Hipp
2448263.614	2191	0.0125	0.0029	Hipp
2448612.717	2294	0.0193	0.0019	Hipp
2448992.338	2406	0.0399	0.0077	Hipp
2449107.53	2440	-0.0036	0.0156	AAVSO
2450351.406	2807	0.0045	0.002	Berdnikov2008
2450697.179	2909	0.0697	0.0926	AAVSO
2450890.291	2966	-0.0075	0.002	Berdnikov2008
2451246.159	3071	-0.0148	0.0025	Berdnikov2008
2451354.684	3103	0.0532	0.0544	AAVSO
2451622.369	3182	-0.0157	0.0026	Berdnikov2008
2451951.289	3279	0.1433	0.0664	ASAS
2452323.94	3389	-0.0268	0.0026	Berdnikov2008
2452439.18	3423	-0.0223	0.0109	ASAS
2452788.265	3526	-0.034	0.0086	ASAS
2452916.951	3564	-0.1413	0.0827	AAVSO
2452994.995	3587	-0.0507	0.0024	Berdnikov2008
2453140.747	3630	-0.0384	0.0034	ASAS
2453489.836	3733	-0.0456	0.0024	ASAS
2453503.424	3737	-0.0152	0.1667	AAVSO
2453838.923	3836	-0.0554	0.0034	ASAS
2453856.005	3841	0.0801	0.0969	AAVSO
2454188.034	3939	-0.041	0.0044	ASAS
2454205.046	3944	0.0252	0.0264	AAVSO
2454537.114	4042	-0.0578	0.0026	ASAS
2454886.211	4145	-0.057	0.0029	ASAS
2455469.176	4317	-0.0491	0.0778	AAVSO
2457462.054	4905	-0.0719	0.007	ASASSN-V
2457811.126	5008	-0.0963	0.0069	ASASSN-V
2458160.24	5111	-0.0793	0.0052	ASASSN-V
2458302.564	5153	-0.1052	0.0116	ASASSN-g
