HJD	Epoch	O-C	O-Cerr	Source
2414490.818	-7096	0.1116	0.1661	Harvard
2414590.722	-7070	0.0324	0.05	Szabados1991 Arch.
2414890.72	-6992	0.0806	0.0566	Harvard
2415294.489	-6887	0.0708	0.0822	Harvard
2415694.404	-6783	0.0521	0.0219	Harvard
2416094.211	-6679	-0.0738	0.0228	Harvard
2416528.755	-6566	-0.0728	0.014	Harvard
2416932.486	-6461	-0.1207	0.0315	Harvard
2417051.794	-6430	-0.0233	0.03	Szabados1991 Arch.
2417343.946	-6354	-0.1301	0.0286	Harvard
2417747.755	-6249	-0.0997	0.0276	Harvard
2417809.335	-6233	-0.0482	0.0141	AAVSO
2417828.641	-6228	0.0303	0.05	Szabados1991 Arch.
2418147.706	-6145	-0.0822	0.0181	Harvard
2418209.292	-6129	-0.0243	0.0125	AAVSO
2418547.654	-6041	-0.0678	0.0175	Harvard
2418613.059	-6024	-0.0363	0.0164	AAVSO
2418947.579	-5937	-0.0757	0.0186	Harvard
2419020.67	-5918	-0.0496	0.0231	AAVSO
2419347.437	-5833	-0.1515	0.0285	Harvard
2419466.733	-5802	-0.0655	0.0272	AAVSO
2419847.419	-5703	-0.0851	0.0219	Harvard
2420247.401	-5599	-0.0368	0.0189	Harvard
2420647.283	-5495	-0.0884	0.0194	Harvard
2421047.227	-5391	-0.0774	0.0238	Harvard
2421447.159	-5287	-0.0782	0.017	Harvard
2421847.147	-5183	-0.0241	0.019	Harvard
2422246.969	-5079	-0.1353	0.0208	Harvard
2422646.989	-4975	-0.0481	0.0149	Harvard
2423050.746	-4870	-0.0698	0.0571	Harvard
2423469.828	-4761	-0.1488	0.0234	Harvard
2423885.17	-4653	-0.1217	0.0303	Harvard
2424285.135	-4549	-0.0904	0.031	Harvard
2424708.234	-4439	0.002	0.0302	Harvard
2424738.969	-4431	-0.0268	0.05	Szabados1991 Arch.
2425100.518	-4337	0.0441	0.03	Szabados1991 Arch.
2425108.163	-4335	-0.0019	0.0324	Harvard
2425131.234	-4329	-0.004	0.05	Szabados1991 Arch.
2425323.499	-4279	-0.0146	0.05	Szabados1991 Arch.
2425508.003	-4231	-0.0952	0.0187	Harvard
2425696.552	-4182	0.0237	0.05	Szabados1991 Arch.
2425907.926	-4127	-0.1057	0.0215	Harvard
2426307.871	-4023	-0.0939	0.0297	Harvard
2426769.4	-3903	-0.0259	0.0297	Harvard
2427169.266	-3799	-0.0937	0.0189	Harvard
2427277.01	-3771	-0.0237	0.05	Szabados1991 Arch.
2427573.063	-3694	-0.075	0.0225	Harvard
2427676.857	-3667	-0.11	0.05	Szabados1991 Arch.
2427973.129	-3590	0.0578	0.0426	Harvard
2428372.907	-3486	-0.0978	0.0243	Harvard
2428772.863	-3382	-0.0747	0.0194	Harvard
2429176.631	-3277	-0.0861	0.0218	Harvard
2429576.598	-3173	-0.0521	0.0186	Harvard
2429976.5	-3069	-0.0831	0.0167	Harvard
2430437.988	-2949	-0.0565	0.0148	Harvard
2430845.614	-2843	-0.0553	0.0211	Harvard
