HJD	Epoch	O-C	O-Cerr	Source
2412919.349	-2803	-0.1829	0.4063	Harvard
2413257.402	-2779	-0.4584	0.3872	Harvard
2413595.74	-2755	-0.4507	0.6595	Harvard
2413933.828	-2731	-0.6915	0.468	Harvard
2414357.228	-2701	-0.2033	0.7192	Harvard
2414765.711	-2672	-0.5349	0.6792	Harvard
2415104.04	-2648	-0.5355	0.3587	Harvard
2415442.551	-2624	-0.3538	0.3362	Harvard
2415809.029	-2598	-0.3987	0.2405	Harvard
2416147.3	-2574	-0.4573	0.3194	Harvard
2416485.826	-2550	-0.2608	0.2356	Harvard
2416824.164	-2526	-0.2521	0.2318	Harvard
2417176.498	-2501	-0.3444	0.2486	Harvard
2417514.701	-2477	-0.471	0.3848	Harvard
2417909.571	-2449	-0.3179	0.267	Harvard
2418290.228	-2422	-0.2816	0.3157	Harvard
2418628.46	-2398	-0.379	0.4298	Harvard
2418981.003	-2373	-0.2622	0.3579	Harvard
2419389.951	-2344	-0.1294	0.4858	Harvard
2419798.631	-2315	-0.2632	0.4169	Harvard
2420179.207	-2288	-0.3081	0.4151	Harvard
2420587.971	-2259	-0.3586	0.3315	Harvard
2420926.236	-2235	-0.4235	0.461	Harvard
2421306.886	-2208	-0.3938	0.5035	Harvard
2421659.336	-2183	-0.3705	0.3063	Harvard
2422039.902	-2156	-0.4248	0.3137	Harvard
2422420.622	-2129	-0.3252	0.3583	Harvard
2423139.409	-2078	-0.4881	0.3351	Harvard
2423477.842	-2054	-0.3846	0.4695	Harvard
2423816.276	-2030	-0.28	0.444	Harvard
2424492.687	-1982	-0.5277	0.3718	Harvard
2425592.497	-1904	-0.2872	0.4312	Harvard
2426001.264	-1875	-0.335	0.5159	Harvard
2426353.92	-1850	-0.1059	0.4962	Harvard
2426706.239	-1825	-0.2126	0.5185	Harvard
2427044.487	-1801	-0.2941	0.3695	Harvard
2427453.588	-1772	-0.0075	0.4795	Harvard
2427805.484	-1747	-0.5387	0.4487	Harvard
2428158.169	-1722	-0.2797	0.4058	Harvard
2428496.474	-1698	-0.3043	0.3598	Harvard
2428835.004	-1674	-0.1032	0.3947	Harvard
2429187.235	-1649	-0.2984	0.4147	Harvard
2429553.678	-1623	-0.3789	0.4133	Harvard
2429892.175	-1599	-0.2114	0.3257	Harvard
2430286.79	-1571	-0.3141	0.3007	Harvard
2430667.362	-1544	-0.3629	0.3155	Harvard
2431047.935	-1517	-0.4106	0.3474	Harvard
2431400.547	-1492	-0.2247	0.4194	Harvard
2431752.958	-1467	-0.2403	0.4081	Harvard
2432119.484	-1441	-0.2372	0.4875	Harvard
2432471.715	-1416	-0.4323	0.4648	Harvard
2432824.157	-1391	-0.4175	0.4562	Harvard
2433247.224	-1361	-0.2617	0.5699	Harvard
2434022.433	-1306	-0.3913	0.4342	Harvard
2434389.056	-1280	-0.291	1.0787	Harvard
2437786.439	-1039	-0.2992	0.3291	Walraven1964
2440972.55	-813	-0.1226	0.494	Harvard
2441648.993	-765	-0.3382	0.0408	Madore1975
2444285.232	-578	-0.2484	0.5785	AAVSO
2444637.639	-553	-0.2677	0.2963	Harvard
2444990.276	-528	-0.0569	2.2844	Harvard
2445342.745	-503	-0.0143	0.9986	Harvard
2445695.038	-478	-0.1484	0.5469	Harvard
2446075.555	-451	-0.2516	0.2027	Harvard
2446428.229	-426	-0.0034	0.4119	AAVSO
2446766.348	-402	-0.2145	0.3462	AAVSO
2446822.813	-398	-0.137	0.281	Harvard
2447936.581	-319	-0.0364	0.0355	Hipp
2448232.602	-298	-0.0538	0.2782	AAVSO
2448274.779	-295	-0.1683	0.0542	Hipp
2448627.197	-270	-0.1765	0.0684	Hipp
2448993.745	-244	-0.1522	1.1691	AAVSO
2449797.294	-187	-0.1351	0.1104	Berdnikov2008
2450882.802	-110	-0.1003	0.0902	Berdnikov2008
2451235.295	-85	-0.0341	0.0928	Berdnikov2008
2451615.814	-58	-0.1353	0.0612	Berdnikov2008
2451883.794	-39	0.0005	0.1859	ASAS
2451954.156	-34	-0.1223	0.0638	Berdnikov2008
2452222.123	-15	0.0002	0.0769	ASAS
2452306.673	-9	-0.0322	0.0866	Berdnikov2008
2452560.428	9	-0.0237	0.0836	ASAS
2452644.93	15	-0.1043	0.0786	Berdnikov2008
2452912.884	34	0.0052	0.0826	ASAS
2452983.371	39	0.0069	0.1021	Berdnikov2008
2453011.61	41	0.0523	0.0913	IOMC
2453025.695	42	0.0397	0.5671	AAVSO
2453349.914	65	0.0272	0.0926	ASAS
2453363.935	66	-0.0493	0.5802	AAVSO
2453688.375	89	0.1588	0.0311	IOMC
2453702.318	90	0.0049	0.09	ASAS
2453758.753	94	0.0514	0.3003	AAVSO
2454083.044	117	0.1101	0.0925	ASAS
2454097.146	118	0.115	0.2946	AAVSO
2454139.487	121	0.1649	0.0705	IOMC
2454421.369	141	0.1061	0.1179	ASAS
2454759.744	165	0.1509	0.0791	ASAS
2454858.335	172	0.0626	0.0881	IOMC
2456705.178	303	0.1914	0.3464	AAVSO
2457043.26	327	-0.0553	0.2891	AAVSO
2457381.841	351	0.1958	0.2814	AAVSO
2457409.883	353	0.0441	0.1095	ASASSN-V
2457748.287	377	0.1189	0.1133	ASASSN-V
2458086.574	401	0.0765	0.1016	ASASSN-V
2458185.119	408	0.0719	0.125	ASASSN-g
2458523.545	432	0.1684	0.114	ASASSN-g
