HJD	Epoch	O-C	O-Cerr	Source
2412810.059	-8105	0.2084	0.1647	Harvard
2413145.231	-8036	0.039	0.0389	Harvard
2413500.089	-7963	0.1159	0.0576	Harvard
2413893.76	-7882	0.1259	0.1371	Harvard
2414297.299	-7799	0.2838	0.1476	Harvard
2414773.23	-7701	-0.0668	0.0987	Harvard
2415089.192	-7636	-0.006	0.0501	Harvard
2415414.95	-7569	0.1313	0.0256	Harvard
2415716.334	-7507	0.1947	0.0469	Harvard
2416046.741	-7439	0.1205	0.0157	Harvard
2416411.247	-7364	0.1255	0.0182	Harvard
2416785.464	-7287	0.1215	0.013	Harvard
2417183.979	-7205	0.1154	0.0132	Harvard
2417504.717	-7139	0.0918	0.026	Harvard
2417912.98	-7055	0.1141	0.0127	Harvard
2418296.888	-6976	0.0809	0.0173	Harvard
2418622.531	-6909	0.1032	0.0205	Harvard
2418987.08	-6834	0.151	0.026	Harvard
2419395.352	-6750	0.1819	0.0727	Harvard
2419803.455	-6666	0.0435	0.0374	Harvard
2420197.135	-6585	0.0617	0.0259	Harvard
2420590.821	-6504	0.0871	0.0146	Harvard
2420921.293	-6436	0.0783	0.0172	Harvard
2421217.733	-6375	0.0575	0.0285	Harvard
2421660.101	-6284	0.1643	0.0171	Harvard
2422039.12	-6206	0.1017	0.0156	Harvard
2422423.088	-6127	0.1289	0.0254	Harvard
2423142.319	-5979	0.0777	0.021	Harvard
2423482.56	-5909	0.1176	0.0329	Harvard
2423783.996	-5847	0.2323	0.0405	Harvard
2424124.173	-5777	0.2083	0.0471	Harvard
2424498.143	-5700	-0.0423	0.0559	Harvard
2425207.524	-5554	-0.2235	0.402	Harvard
2425616.261	-5470	0.2726	0.0656	Harvard
2426000.054	-5391	0.1238	0.0356	Harvard
2426364.451	-5316	0.02	0.0223	Harvard
2426709.463	-5245	-0.0289	0.0305	Harvard
2427040.02	-5177	0.0474	0.0138	Harvard
2427453.117	-5092	0.0425	0.022	Harvard
2427803.127	-5020	0.1315	0.0504	Harvard
2428162.713	-4946	0.0763	0.0243	Harvard
2428502.892	-4876	0.0546	0.0187	Harvard
2428818.779	-4811	0.0403	0.0112	Harvard
2429124.961	-4748	0.0423	0.0212	Harvard
2429421.467	-4687	0.0869	0.0175	Harvard
2429717.876	-4626	0.0352	0.0152	Harvard
2430014.337	-4565	0.0356	0.0111	Harvard
2430315.641	-4503	0.0183	0.019	Harvard
2430670.425	-4430	0.0214	0.0145	Harvard
2431049.465	-4352	-0.0201	0.025	Harvard
2431404.296	-4279	0.0305	0.0157	Harvard
2431754.196	-4207	0.0093	0.0204	Harvard
2432123.584	-4131	0.0363	0.0283	Harvard
2432473.53	-4059	0.061	0.0208	Harvard
2432769.918	-3998	-0.0123	0.0547	Harvard
2433066.268	-3937	-0.1226	0.1016	Harvard
2433362.986	-3876	0.1343	0.0433	Harvard
2433659.404	-3815	0.0919	0.0575	Harvard
2434033.439	-3738	-0.0949	0.1684	Harvard
2434398.155	-3663	0.1204	0.0265	Harvard
2434893.842	-3561	0.0862	0.0664	Harvard
2435161.082	-3506	0.0253	0.0109	Mitchell1964
2440934.783	-2318	0.0293	0.0086	Pel1976
2440983.699	-2308	0.3447	0.1483	Harvard
2444638.185	-1556	0.1003	0.0381	Harvard
2444963.639	-1489	-0.0665	0.0436	Harvard
2445347.658	-1410	0.0109	0.0337	Harvard
2445644.158	-1349	0.0503	0.0266	Harvard
2446076.572	-1260	-0.0776	0.0286	Harvard
2446446.006	-1184	-0.0045	0.0393	Harvard
2446825.08	-1106	-0.0117	0.0348	Harvard
2447140.992	-1041	-0.0003	0.0472	Harvard
2447495.782	-968	0.0083	0.0585	Harvard
2447865.075	-892	-0.0597	0.0051	Hipp
2448161.561	-831	-0.0348	0.0042	Hipp
2448462.886	-769	-0.0303	0.005	Hipp
2448778.813	-704	-0.0046	0.0041	Hipp
2450567.304	-336	0.0016	0.0022	Berdnikov2008
2451884.375	-65	0.0086	0.0024	ASAS
2452200.267	0	0.0	0.0041	ASAS
2452501.6	62	0.0117	0.0047	ASAS
2452666.813	96	-0.0158	0.0396	IOMC
2452798.056	123	0.0068	0.0022	ASAS
2453094.512	184	0.0021	0.0032	ASAS
2453133.359	192	-0.0312	0.0048	IOMC
2453390.972	245	0.0009	0.0024	ASAS
2453697.148	308	-0.0039	0.0028	ASAS
2454085.953	388	0.0004	0.0024	ASAS
2454139.414	399	0.0013	0.0037	IOMC
2454382.415	449	0.0011	0.0027	ASAS
2454678.869	510	-0.0053	0.0025	ASAS
2454863.54	548	-0.0146	0.0032	IOMC
2454975.332	571	-0.003	0.0078	ASAS
2456637.472	913	0.0117	0.004	Berdnikov2015
2457419.922	1074	-0.0008	0.0118	ASASSN-V
2457716.377	1135	-0.0062	0.006	ASASSN-V
2458071.156	1208	-0.0088	0.0059	ASASSN-V
2458197.531	1234	0.0058	0.0074	ASASSN-g
2458494.002	1295	0.016	0.0058	ASASSN-g
2458790.448	1356	0.0014	0.0051	ASASSN-g
