HJD	Epoch	O-C	O-Cerr	Source
2414605.8	-8142	0.9405	0.1	Szabados1977 Arch.
2416376.8	-7707	0.9842	0.1	Szabados1977 Arch.
2417121.9	-7524	1.0611	0.1	Szabados1977 Arch.
2417793.55	-7359	0.9691	0.1	Szabados1977 Arch.
2417952.374	-7320	1.0177	0.1	Szabados1977 Arch.
2418229.18	-7252	0.9845	0.1	Szabados1977 Arch.
2418595.42	-7162	0.8198	0.1	Szabados1977 Arch.
2419047.38	-7051	0.8806	0.1	Szabados1977 Arch.
2419234.76	-7005	0.987	0.1	Szabados1977 Arch.
2419336.475	-6980	0.9229	0.07	Szabados1977 Arch.
2419466.81	-6948	0.9807	0.1	Szabados1977 Arch.
2419743.57	-6880	0.9015	0.1	Szabados1977 Arch.
2421131.676	-6539	0.7406	0.04	Szabados1977 Arch.
2425964.01	-5352	0.6029	0.07	Szabados1977 Arch.
2426851.52	-5134	0.5992	0.07	Szabados1977 Arch.
2427335.74	-5015	0.3507	0.1	Szabados1977 Arch.
2428431.13	-4746	0.5976	0.1	Szabados1977 Arch.
2430181.504	-4316	0.371	0.07	Szabados1977 Arch.
2430433.905	-4254	0.3599	0.07	Szabados1977 Arch.
2430678.192	-4194	0.377	0.1	Szabados1977 Arch.
2430836.932	-4155	0.3416	0.07	Szabados1977 Arch.
2430979.55	-4120	0.4689	0.1	Szabados1977 Arch.
2431146.305	-4079	0.3062	0.04	Szabados1977 Arch.
2431687.72	-3946	0.2564	0.1	Szabados1977 Arch.
2432041.82	-3859	0.1651	0.1	Szabados1977 Arch.
2432127.439	-3838	0.2896	0.1	Szabados1977 Arch.
2432208.85	-3818	0.2774	0.07	Szabados1977 Arch.
2432970.172	-3631	0.2917	0.07	Szabados1977 Arch.
2436763.77	-2699	0.0513	0.0094	Oosterhoff1960
2436763.853	-2699	0.1346	0.003	Mitchell1964
2436804.586	-2689	0.1554	0.0048	Weaver1960
2436809.135	-2688	0.147	0.02	Szabados1977 Arch.
2436833.544	-2682	0.1291	0.02	Szabados1977 Arch.
2436906.85	-2664	0.1541	0.02	Szabados1977 Arch.
2437045.355	-2630	0.2395	0.1	Szabados1977 Arch.
2437399.402	-2543	0.0953	0.1	Szabados1977 Arch.
2438144.399	-2360	0.0693	0.1	Szabados1977 Arch.
2439056.378	-2136	0.1075	0.1	Szabados1977 Arch.
2440151.424	-1867	0.0104	0.1	Szabados1977 Arch.
2441584.03	-1515	0.0535	0.0058	Szabados1977
2441682.236	-1491	0.0647	0.02	Szabados1977 Arch.
2441934.156	-1429	0.0593	0.0078	Szabados1977
2443041.968	-1157	0.028	0.04	Szabados1977 Arch.
2446607.776	-281	-0.0177	0.0033	Berdnikov2008
2447401.658	-86	-0.0123	0.0033	Berdnikov2008
2447747.707	-1	-0.0119	0.0026	Berdnikov2008
2447865.78	28	-0.0028	0.008	Hipp
2448211.793	113	-0.0385	0.0128	Hipp
2448557.879	198	-0.0023	0.0087	Hipp
2448964.915	298	-0.0821	0.0732	Hipp
2449933.919	536	-0.0153	0.0088	Berdnikov2008
2452637.099	1200	-0.0884	0.007	IOMC
2452983.243	1285	0.0073	0.0023	IOMC
2453341.499	1373	0.0004	0.0019	IOMC
2453707.923	1463	0.0197	0.0016	IOMC
2454070.219	1552	-0.0182	0.0027	SWASP
2454416.314	1637	0.0279	0.0064	SWASP
2455202.063	1830	0.0421	0.0027	IOMC
2456134.386	2059	0.0686	0.0068	KWS
2456504.846	2150	0.0533	0.0072	KWS
2456863.166	2238	0.1101	0.0075	KWS
2456895.694	2246	0.0697	0.0149	Gaia-dr2
2457005.591	2273	0.045	0.0034	ASASSN-V
2457221.409	2326	0.0916	0.0075	KWS
2457249.908	2333	0.092	0.0191	Gaia-dr2
2457355.738	2359	0.0718	0.0037	ASASSN-V
2457595.94	2418	0.0751	0.0086	KWS
2457701.793	2444	0.0776	0.0036	ASASSN-V
2457946.063	2504	0.078	0.0077	KWS
2458047.888	2529	0.1243	0.0033	ASASSN-V
2458312.495	2594	0.1048	0.0192	KWS
2458695.163	2688	0.0837	0.0152	KWS
2459061.604	2778	0.1197	0.0154	KWS
