HJD	Epoch	O-C	O-Cerr	Source
2411878.574	-2942	0.2458	0.0925	AAVSO
2412236.097	-2905	0.353	0.0701	AAVSO
2412584.086	-2869	0.5867	0.0698	AAVSO
2412931.575	-2833	0.32	0.0593	AAVSO
2413279.388	-2797	0.3778	0.0768	AAVSO
2413627.225	-2761	0.4588	0.0581	AAVSO
2414496.376	-2671	0.2212	0.0376	AAVSO
2414989.314	-2620	0.5061	0.3161	AAVSO
2415385.071	-2579	0.2082	0.0762	AAVSO
2416109.306	-2504	-0.0476	0.093	AAVSO
2416495.856	-2464	0.1071	0.0836	AAVSO
2416920.984	-2420	0.2002	0.0662	AAVSO
2417664.542	-2343	-0.0514	0.0524	AAVSO
2418205.921	-2287	0.3746	0.1539	AAVSO
2418698.368	-2236	0.1675	0.0661	AAVSO
2419828.178	-2119	-0.2276	0.1062	AAVSO
2426128.045	-1467	0.1575	0.05	Szabados1989 Arch.
2426290.834	-1450	-0.0277	0.0124	Pingsdorf1935
2426466.032	-1432	0.0489	0.05	Szabados1989 Arch.
2433807.521	-672	0.0329	0.05	Szabados1989 Arch.
2434521.165	-598	0.0894	0.0637	AAVSO
2434521.168	-598	0.0925	0.0672	Mitchell1964
2434521.374	-598	0.2981	0.0742	Eggen1957
2434541.889	-596	0.2504	0.05	Szabados1989 Arch.
2434628.743	-587	0.1655	0.03	Szabados1989 Arch.
2434868.925	-562	0.0935	0.0372	Mitchell1964
2434868.925	-562	0.0937	0.0398	AAVSO
2434869.0	-562	0.1693	0.0186	Eggen1957
2434918.458	-557	0.0843	0.02	Szabados1989 Arch.
2435158.764	-532	0.1369	0.0474	Irwin1961
2435227.609	-525	0.1193	0.02	Szabados1989 Arch.
2435236.127	-524	0.2204	0.0562	Mitchell1964
2435236.127	-524	0.2204	0.0533	AAVSO
2437796.118	-259	0.3448	0.0137	Walraven1964
2437845.449	-254	0.1332	0.02	Szabados1989 Arch.
2440230.327	-7	0.2653	0.03	Stobie1970
2440308.825	1	0.241	0.02	Szabados1989 Arch.
2441920.724	168	0.1839	0.1694	AAVSO
2442859.006	265	0.215	0.03	Szabados1989 Arch.
2443591.951	341	0.2523	0.0912	Eggen1985
2443602.87	342	0.2687	0.03	Szabados1989 Arch.
2444441.929	429	0.1614	0.075	Eggen1985
2444694.391	455	0.2238	0.03	Szabados1989 Arch.
2445148.433	502	0.2517	0.05	Szabados1989 Arch.
2445832.982	573	0.1929	0.0703	AAVSO
2446915.001	685	0.3055	0.2061	AAVSO
2447610.521	757	0.3147	0.0708	AAVSO
2447881.097	785	0.4147	0.0114	Hipp
2448257.828	824	0.4102	0.0074	Hipp
2448305.92	829	0.2024	0.1229	AAVSO
2448605.579	860	0.4053	0.0064	Hipp
2448654.034	865	0.5609	0.0921	AAVSO
2448953.324	896	0.3947	0.2741	Hipp
2449001.605	901	0.3769	0.0755	AAVSO
2449349.483	937	0.4992	0.0656	AAVSO
2449697.224	973	0.485	0.0937	AAVSO
2450074.119	1012	0.6447	0.0778	AAVSO
2450373.363	1043	0.4321	0.0079	Berdnikov2008
2450421.515	1048	0.285	0.0708	AAVSO
2450837.067	1091	0.4621	0.1846	AAVSO
2450885.383	1096	0.4791	0.0067	Berdnikov2008
2451213.983	1130	0.6439	0.0717	AAVSO
2451242.756	1133	0.4373	0.0073	Berdnikov2008
2451561.514	1166	0.4192	0.097	AAVSO
2451619.49	1172	0.4355	0.0093	Berdnikov2008
2451948.133	1206	0.6429	0.4479	AAVSO
2451967.216	1208	0.406	0.0404	Berdnikov2008
2452315.009	1244	0.4442	0.0071	Berdnikov2008
2452653.184	1279	0.5234	0.1506	AAVSO
2452662.708	1280	0.3867	0.0175	Berdnikov2008
2452952.579	1310	0.4621	0.0141	ASASSN-V
2453010.549	1316	0.4724	0.012	Berdnikov2008
2453010.677	1316	0.6002	0.1267	AAVSO
2453348.794	1351	0.6222	0.0333	ASASSN-V
2453696.316	1387	0.3885	0.0308	ASASSN-V
2453744.638	1392	0.4113	0.141	AAVSO
2454082.778	1427	0.4557	0.0237	ASASSN-V
2454217.84	1441	0.2791	0.1799	AAVSO
2454430.516	1463	0.4385	0.0102	ASASSN-V
2454652.573	1486	0.318	0.2256	AAVSO
2454787.919	1500	0.4256	0.0109	ASASSN-V
2455309.678	1554	0.5511	0.1097	AAVSO
2455657.265	1590	0.3834	0.1929	AAVSO
2456005.263	1626	0.6256	0.14	AAVSO
2456352.849	1662	0.456	0.09	AAVSO
2456700.441	1698	0.2927	0.0744	AAVSO
2456893.91	1718	0.564	0.0365	Gaia-dr2
2457048.281	1734	0.3773	0.1045	AAVSO
2457289.935	1759	0.534	0.0397	Gaia-dr2
2457396.088	1770	0.4283	0.0903	AAVSO
2457434.645	1774	0.3462	0.0381	ASAS
2457743.911	1806	0.4958	0.0824	AAVSO
2457782.548	1810	0.4935	0.0147	ASAS
2458091.593	1842	0.4221	0.0826	AAVSO
2458149.602	1848	0.4717	0.0178	ASAS
