HJD	Epoch	O-C	O-Cerr	Source
2401353.129	-629	43.0527	0.6	MahmoudSzabados1980 Arch.
2401745.436	-623	39.4299	2.4071	AAVSO
2401827.161	-622	41.0847	0.6	MahmoudSzabados1980 Arch.
2402094.106	-618	48.1002	1.1504	AAVSO
2402103.238	-618	45.1617	0.5	MahmoudSzabados1980 Arch.
2402430.063	-613	44.0577	0.8691	AAVSO
2402440.436	-613	42.3597	0.5	MahmoudSzabados1980 Arch.
2402510.712	-612	44.6357	0.5	MahmoudSzabados1980 Arch.
2402769.643	-608	43.6375	1.2882	AAVSO
2402784.518	-608	46.4417	0.5	MahmoudSzabados1980 Arch.
2402846.258	-607	40.1817	0.5	MahmoudSzabados1980 Arch.
2403104.123	-603	38.117	2.5537	AAVSO
2403182.08	-602	36.0037	0.5	MahmoudSzabados1980 Arch.
2403256.691	-601	42.6147	0.6	MahmoudSzabados1980 Arch.
2403442.215	-598	36.2094	1.5916	AAVSO
2403522.788	-597	36.7117	0.5	MahmoudSzabados1980 Arch.
2403527.262	-597	41.1857	0.5	MahmoudSzabados1980 Arch.
2403847.833	-593	33.8269	0.4736	AAVSO
2403995.65	-591	33.5737	0.5	MahmoudSzabados1980 Arch.
2404186.641	-588	32.6354	0.4412	AAVSO
2404333.399	-586	31.3227	0.5	MahmoudSzabados1980 Arch.
2404522.364	-583	28.3585	0.4061	AAVSO
2404667.087	-581	25.0107	0.5	MahmoudSzabados1980 Arch.
2404857.648	-578	23.6423	0.4744	AAVSO
2405072.289	-575	22.2127	0.5	MahmoudSzabados1980 Arch.
2405195.805	-573	21.7989	0.5284	AAVSO
2405478.18	-569	20.1037	0.5	MahmoudSzabados1980 Arch.
2405528.832	-568	14.8263	0.4759	AAVSO
2405864.294	-563	10.288	1.0013	AAVSO
2406009.754	-561	7.6777	0.5	MahmoudSzabados1980 Arch.
2406150.9	-559	12.8237	0.5	MahmoudSzabados1980 Arch.
2406213.078	-558	7.0017	0.6	MahmoudSzabados1980 Arch.
2406416.47	-555	6.3937	0.5	MahmoudSzabados1980 Arch.
2406829.175	-549	11.0987	0.5	MahmoudSzabados1980 Arch.
2408021.035	-531	-21.0413	0.5	MahmoudSzabados1980 Arch.
2408379.984	-526	-2.0923	0.6	MahmoudSzabados1980 Arch.
2408716.424	-521	-5.6523	0.5	MahmoudSzabados1980 Arch.
