HJD	Epoch	O-C	O-Cerr	Source
2423742.991	-1719	-0.3463	0.1	Szabados1991 Arch.
2425613.245	-1583	-0.7413	0.1	Szabados1991 Arch.
2425805.92	-1569	-0.6331	0.1	Szabados1991 Arch.
2426466.209	-1521	-0.5732	0.1	Szabados1991 Arch.
2426521.173	-1517	-0.6283	0.1	Szabados1991 Arch.
2427662.8	-1434	-0.6473	0.1	Szabados1991 Arch.
2428089.378	-1403	-0.4673	0.1	Szabados1991 Arch.
2428584.5	-1367	-0.5171	0.1	Szabados1991 Arch.
2429519.731	-1299	-0.6106	0.1	Szabados1991 Arch.
2429835.963	-1276	-0.7383	0.1	Szabados1991 Arch.
2430564.956	-1223	-0.7482	0.1	Szabados1991 Arch.
2431527.765	-1153	-0.7733	0.1	Szabados1991 Arch.
2432449.337	-1086	-0.771	0.1	Szabados1991 Arch.
2433082.568	-1040	-0.7091	0.0367	AAVSO
2433109.654	-1038	-0.683	0.02	Szabados1991 Arch.
2433494.741	-1010	-0.7297	0.01	Szabados1991 Arch.
2434416.368	-943	-0.6724	0.1	Szabados1991 Arch.
2434980.714	-902	-0.722	0.0422	AAVSO
2435282.936	-880	-0.655	0.04	Szabados1991 Arch.
2435502.954	-864	-0.7134	0.1	Szabados1991 Arch.
2435558.014	-860	-0.6725	0.02	Szabados1991 Arch.
2435640.846	-854	-0.819	0.0624	AAVSO
2436218.152	-812	-0.7635	0.06	Szabados1991 Arch.
2437085.197	-749	-0.7192	0.0215	AAVSO
2437208.525	-740	-0.7341	0.04	Szabados1991 Arch.
2437469.787	-721	-0.8128	0.06	Szabados1991 Arch.
2437937.601	-687	-0.661	0.06	Szabados1991 Arch.
2440056.161	-533	-0.7864	0.0795	AAVSO
2440413.494	-507	-0.627	0.04	Szabados1991 Arch.
2440496.38	-501	-0.7199	0.0414	AAVSO
2440744.147	-483	-0.5386	0.0599	Pel1976
2440867.193	-474	-0.8355	0.06	Szabados1991 Arch.
2440867.331	-474	-0.6975	0.02	Szabados1991 Arch.
2441115.337	-456	-0.7272	0.0482	AAVSO
2441266.313	-445	-0.6038	0.04	Szabados1991 Arch.
2441500.0	-428	-0.748	0.1	Szabados1991 Arch.
2441555.613	-424	-0.6045	0.0401	AAVSO
2441912.777	-398	-0.6141	0.02	Szabados1991 Arch.
2441995.674	-392	-0.6962	0.0279	AAVSO
2442490.887	-356	-0.6549	0.0292	AAVSO
2442916.67	-325	-0.8195	0.03	Szabados1991 Arch.
2442931.066	-324	-0.6286	0.0242	AAVSO
2443288.629	-298	-0.6894	0.0199	Moffett1984
2443371.125	-292	-0.7222	0.0224	AAVSO
2443646.281	-272	-0.6619	0.028	Szabados1981
2443728.774	-266	-0.6969	0.0188	Moffett1984
2443810.884	-260	-0.6657	0.02	Szabados1991 Arch.
2443811.394	-260	-0.6055	0.0198	AAVSO
2444251.563	-228	-0.5898	0.0188	AAVSO
2444389.054	-218	-0.6462	0.0083	Coulson1985
2444691.711	-196	-0.5937	0.0208	AAVSO
2445131.771	-164	-0.6863	0.0176	AAVSO
2445503.187	-137	-0.65	0.0107	Berdnikov2008
2445571.996	-132	-0.6149	0.0215	AAVSO
2446012.155	-100	-0.6082	0.0182	AAVSO
2446452.241	-68	-0.6747	0.0259	AAVSO
2446892.466	-36	-0.603	0.0247	AAVSO
2447332.576	-4	-0.645	0.0165	AAVSO
2447387.655	0	-0.5851	0.0123	Berdnikov2008
2447772.799	28	-0.5749	0.0189	AAVSO
2447951.573	41	-0.6129	0.0038	Hipp
2448212.941	60	-0.5853	0.0243	AAVSO
2448391.767	73	-0.5719	0.0047	Hipp
2448419.201	75	-0.6468	0.0678	Barnes1997
