HJD	Epoch	O-C	O-Cerr	Source
2435540.501	-2001	0.6366	0.0717	Mitchell1964
2436810.607	-1855	0.2267	0.0349	Mitchell1964
2440657.019	-1413	0.2852	0.0128	Pel1976
2444564.157	-964	0.1536	0.0177	Moffett1984
2444912.194	-924	0.1044	0.0098	Moffett1984
2448349.536	-529	0.093	0.034	Hipp
2448506.127	-511	0.045	0.0213	Berdnikov2008
2448697.563	-489	0.0339	0.0269	Hipp
2449802.749	-362	0.046	0.0159	Berdnikov2008
2450803.607	-247	0.1554	0.015	Berdnikov2008
2451978.278	-112	0.0349	0.0171	ASAS
2452500.424	-52	0.0518	0.0078	ASAS
2452883.333	-8	0.065	0.006	ASAS
2453266.238	36	0.0755	0.0158	ASAS
2453623.006	77	0.0547	0.0107	ASAS
2454084.19	130	0.0245	0.0139	ASAS
2454432.297	170	0.0457	0.0127	ASAS
2454780.406	210	0.0678	0.0261	ASAS
2455137.178	251	0.0514	0.0432	ASAS
2456233.719	377	0.1202	0.0458	KWS
2456581.684	417	-0.0014	0.0249	KWS
2456633.962	423	0.0644	0.0113	Berdnikov2015
2456929.882	457	0.1107	0.0221	KWS
2457008.1	466	0.0095	0.0049	ASASSN-V
2457303.996	500	0.0313	0.036	KWS
2457356.169	506	-0.0087	0.0029	ASASSN-V
2457660.863	541	0.1098	0.0317	KWS
2457704.269	546	0.0058	0.0042	ASASSN-V
2458043.633	585	-0.0144	0.0225	KWS
2458052.34	586	-0.0095	0.0047	ASASSN-V
2458400.407	626	-0.0297	0.0086	ASASSN-V
2458400.481	626	0.0447	0.0375	KWS
