HJD	Epoch	O-C	O-Cerr	Source
2409848.81	-7182	-0.8619	0.08	Meyer2006 Arch.
2409848.86	-7182	-0.8119	0.08	Meyer2006 Arch.
2409884.53	-7174	-0.6251	0.08	Meyer2006 Arch.
2409888.79	-7173	-0.8005	0.08	Meyer2006 Arch.
2409888.92	-7173	-0.6705	0.08	Meyer2006 Arch.
2409893.39	-7172	-0.6359	0.08	Meyer2006 Arch.
2409897.71	-7171	-0.7513	0.08	Meyer2006 Arch.
2409897.75	-7171	-0.7113	0.08	Meyer2006 Arch.
2410048.56	-7137	-0.7049	0.08	Meyer2006 Arch.
2410101.83	-7125	-0.6597	0.08	Meyer2006 Arch.
2410110.73	-7123	-0.6305	0.08	Meyer2006 Arch.
2410195.07	-7104	-0.5631	0.08	Meyer2006 Arch.
2410199.37	-7103	-0.6985	0.08	Meyer2006 Arch.
2410203.74	-7102	-0.7639	0.08	Meyer2006 Arch.
2410212.91	-7100	-0.4647	0.08	Meyer2006 Arch.
2410532.1	-7028	-0.6235	0.08	Meyer2006 Arch.
2410536.53	-7027	-0.6289	0.08	Meyer2006 Arch.
2410909.19	-6943	-0.5425	0.08	Meyer2006 Arch.
2410944.64	-6935	-0.5757	0.08	Meyer2006 Arch.
2411246.26	-6867	-0.5629	0.08	Meyer2006 Arch.
2411321.69	-6850	-0.5347	0.08	Meyer2006 Arch.
2411330.9	-6848	-0.1955	0.08	Meyer2006 Arch.
2411596.95	-6788	-0.2695	0.08	Meyer2006 Arch.
2411605.51	-6786	-0.5803	0.08	Meyer2006 Arch.
2411605.96	-6786	-0.1303	0.08	Meyer2006 Arch.
2411982.59	-6701	-0.5093	0.08	Meyer2006 Arch.
2411991.77	-6699	-0.2001	0.08	Meyer2006 Arch.
2412306.67	-6628	-0.2135	0.08	Meyer2006 Arch.
2412346.03	-6619	-0.7721	0.08	Meyer2006 Arch.
2412373.15	-6613	-0.2645	0.08	Meyer2006 Arch.
2412395.19	-6608	-0.4015	0.08	Meyer2006 Arch.
2412648.02	-6551	-0.3893	0.08	Meyer2006 Arch.
2412710.1	-6537	-0.4049	0.08	Meyer2006 Arch.
2412718.95	-6535	-0.4257	0.08	Meyer2006 Arch.
2412812.09	-6514	-0.4291	0.08	Meyer2006 Arch.
2412980.49	-6476	-0.5743	0.08	Meyer2006 Arch.
2413051.73	-6460	-0.3007	0.08	Meyer2006 Arch.
2413060.72	-6458	-0.1815	0.08	Meyer2006 Arch.
2413095.99	-6450	-0.3947	0.08	Meyer2006 Arch.
2413131.57	-6442	-0.2979	0.08	Meyer2006 Arch.
2413481.71	-6363	-0.5545	0.08	Meyer2006 Arch.
2413752.7	-6302	-0.1239	0.08	Meyer2006 Arch.
2413761.57	-6300	-0.1247	0.08	Meyer2006 Arch.
2414098.54	-6224	-0.2451	0.08	Meyer2006 Arch.
2414213.48	-6198	-0.6255	0.08	Meyer2006 Arch.
2414515.47	-6130	-0.2427	0.08	Meyer2006 Arch.
2414524.02	-6128	-0.5635	0.08	Meyer2006 Arch.
2414541.93	-6124	-0.3951	0.08	Meyer2006 Arch.
2414643.93	-6101	-0.4093	0.08	Meyer2006 Arch.
2414821.24	-6061	-0.5153	0.08	Meyer2006 Arch.
2414834.74	-6058	-0.3215	0.08	Meyer2006 Arch.
2414843.68	-6056	-0.2523	0.08	Meyer2006 Arch.
2414887.78	-6046	-0.5063	0.08	Meyer2006 Arch.
2414887.84	-6046	-0.4463	0.08	Meyer2006 Arch.
2414967.84	-6028	-0.2835	0.08	Meyer2006 Arch.
2415211.56	-5973	-0.5105	0.08	Meyer2006 Arch.
2415211.63	-5973	-0.4405	0.08	Meyer2006 Arch.
2415610.7	-5883	-0.5565	0.08	Meyer2006 Arch.
2415610.86	-5883	-0.3965	0.08	Meyer2006 Arch.
2415801.6	-5840	-0.3787	0.08	Meyer2006 Arch.
2415983.26	-5799	-0.5701	0.08	Meyer2006 Arch.
2415983.37	-5799	-0.4601	0.08	Meyer2006 Arch.
2416120.9	-5768	-0.4275	0.08	Meyer2006 Arch.
2416346.97	-5717	-0.5629	0.08	Meyer2006 Arch.
2416347.09	-5717	-0.4429	0.08	Meyer2006 Arch.
2416701.8	-5637	-0.5649	0.08	Meyer2006 Arch.
2416701.98	-5637	-0.3849	0.08	Meyer2006 Arch.
2416741.9	-5628	-0.3835	0.08	Meyer2006 Arch.
2417030.17	-5563	-0.4145	0.08	Meyer2006 Arch.
2417065.5	-5555	-0.5677	0.08	Meyer2006 Arch.
2417069.97	-5554	-0.5331	0.08	Meyer2006 Arch.
2417078.79	-5552	-0.5839	0.08	Meyer2006 Arch.
2417078.85	-5552	-0.5239	0.08	Meyer2006 Arch.
2417425.01	-5474	-0.3251	0.08	Meyer2006 Arch.
2417429.28	-5473	-0.4905	0.08	Meyer2006 Arch.
2417757.62	-5399	-0.3701	0.08	Meyer2006 Arch.
2417828.32	-5383	-0.6365	0.08	Meyer2006 Arch.
2417828.48	-5383	-0.4765	0.08	Meyer2006 Arch.
2417864.09	-5375	-0.3497	0.08	Meyer2006 Arch.
2418170.07	-5306	-0.4123	0.08	Meyer2006 Arch.
2418214.49	-5296	-0.3463	0.08	Meyer2006 Arch.
2418214.58	-5296	-0.2563	0.08	Meyer2006 Arch.
2418245.53	-5289	-0.3541	0.08	Meyer2006 Arch.
2418520.46	-5227	-0.4189	0.08	Meyer2006 Arch.
2418564.86	-5217	-0.3729	0.08	Meyer2006 Arch.
2418591.41	-5211	-0.4353	0.08	Meyer2006 Arch.
2418937.34	-5133	-0.4665	0.08	Meyer2006 Arch.
2418937.5	-5133	-0.3065	0.08	Meyer2006 Arch.
