HJD	Epoch	O-C	O-Cerr	Source
2434930.402	-3318	0.0976	0.0105	Mitchell1964
2435164.551	-3273	0.0386	0.0102	Irwin1961
2435237.453	-3259	0.076	0.0153	Mitchell1964
2438444.23	-2643	0.0375	0.1	Kiehl1977 Arch.
2439236.58	-2491	-0.0415	0.1	Kiehl1977 Arch.
2444616.061	-1457	-0.0321	0.0684	Eggen1985
2447884.561	-829	-0.0308	0.0057	Hipp
2448222.866	-764	-0.026	0.0143	Hipp
2448519.537	-707	-0.0182	0.0076	Hipp
2450538.929	-319	-0.0167	0.0042	Berdnikov2008
2451881.747	-61	0.0102	0.0049	ASAS
2452199.218	0	0.0	0.0055	ASAS
2452495.88	57	-0.0009	0.005	ASAS
2452646.798	86	-0.0167	0.0276	IOMC
2452792.551	114	0.0074	0.0039	ASAS
2453089.213	171	0.0056	0.0056	ASAS
2453130.855	179	0.0105	0.004	IOMC
2453385.881	228	0.0103	0.0028	ASAS
2453698.15	288	0.0029	0.0032	ASAS
2454088.511	363	0.0175	0.0029	ASAS
2454385.171	420	0.0144	0.0033	ASAS
2454681.837	477	0.0177	0.0031	ASAS
2454983.686	535	-0.001	0.0309	ASAS
2456316.149	791	0.029	0.0092	Bochum
2456638.751	853	-0.0034	0.0079	Berdnikov2015
2456706.462	866	-0.0034	0.0056	Bochum
2457419.387	1003	-0.0597	0.0122	ASASSN-V
2457716.087	1060	-0.0231	0.0071	ASASSN-V
2458075.207	1129	-0.0218	0.005	ASASSN-V
