HJD	Epoch	O-C	O-Cerr	Source
2427946.528	-3345	-0.0528	0.0622	Krebs1936
2432765.994	-2659	-0.0419	0.03	Szabados1989 Arch.
2433110.132	-2610	-0.0838	0.02	Szabados1989 Arch.
2434950.444	-2348	-0.0807	0.05	Szabados1989 Arch.
2435294.581	-2299	-0.1237	0.05	Szabados1989 Arch.
2436109.319	-2183	-0.1789	0.05	Szabados1989 Arch.
2436866.953	-2075	-0.2095	0.1431	AAVSO
2437233.2	-2023	-0.1507	0.03	Szabados1989 Arch.
2437450.09	-1992	-0.0712	0.254	AAVSO
2437899.58	-1928	-0.122	0.3736	AAVSO
2438673.155	-1818	-0.1321	0.05	Szabados1989 Arch.
2439059.541	-1763	-0.0705	0.05	Szabados1989 Arch.
2440253.609	-1593	-0.0961	0.03	Szabados1989 Arch.
2440751.377	-1522	-0.1014	0.0356	Pel1976
2440801.469	-1515	-0.1144	0.03	Szabados1989 Arch.
2440822.484	-1512	-0.1716	0.02	Szabados1989 Arch.
2441194.809	-1459	-0.1229	0.03	Szabados1989 Arch.
2442247.444	-1309	-0.1642	0.0392	AAVSO
2442703.95	-1244	-0.2226	0.1075	AAVSO
2443287.03	-1161	-0.1421	0.0059	Moffett1984
2443364.272	-1150	-0.164	0.1422	AAVSO
2443365.21	-1150	-0.1626	0.02	Szabados1989 Arch.
2443674.27	-1106	-0.1621	0.02	Szabados1989 Arch.
2444039.528	-1054	-0.1563	0.03	Szabados1989 Arch.
2444467.988	-993	-0.1651	0.03	Szabados1989 Arch.
2444783.087	-948	-0.2133	0.0367	AAVSO
2445232.715	-884	-0.1265	0.0436	AAVSO
2445850.787	-796	-0.1738	0.0326	AAVSO
2446609.42	-688	-0.1412	0.0115	Berdnikov2008
2447080.024	-621	-0.1511	0.0112	Berdnikov2008
2447318.84	-587	-0.1536	0.0336	AAVSO
2447733.28	-528	-0.1345	0.0054	Berdnikov2008
2447768.349	-523	-0.186	0.0351	AAVSO
2447965.127	-495	-0.0822	0.0048	Hipp
2448217.966	-459	-0.1101	0.0372	AAVSO
2448498.928	-419	-0.1112	0.0074	Berdnikov2008
2448534.0	-414	-0.1597	0.0052	Hipp
2449250.575	-312	-0.041	0.0327	AAVSO
2449517.445	-274	-0.0852	0.0159	Berdnikov2008
2449833.523	-229	-0.0913	0.0285	AAVSO
2449917.798	-217	-0.1047	0.0065	Kiss1998
2450002.058	-205	-0.134	0.0097	Berdnikov2008
2451252.362	-27	-0.1168	0.0077	Berdnikov2008
2451673.811	33	-0.1118	0.0309	AAVSO
2452123.313	97	-0.1516	0.065	AAVSO
2452355.147	130	-0.1115	0.0103	Berdnikov2008
2453141.883	242	-0.0731	0.0517	AAVSO
2453443.9	285	-0.0908	0.0116	ASAS
2453605.514	308	-0.0316	0.0317	AAVSO
2453893.435	349	-0.0979	0.0188	ASAS
2454055.014	372	-0.0721	0.0187	AAVSO
2454343.001	413	-0.0726	0.0114	ASAS
2454525.667	439	-0.0321	0.025	AAVSO
2454918.973	495	-0.0753	0.0146	ASAS
2454975.189	503	-0.0517	0.0185	AAVSO
2455424.75	567	-0.032	0.019	AAVSO
2455691.598	605	-0.0988	0.0129	KWS
2455874.244	631	-0.0788	0.0469	AAVSO
2456155.17	671	-0.1158	0.0081	KWS
2456478.303	717	-0.091	0.0334	AAVSO
2456759.283	757	-0.0745	0.0066	KWS
2456927.842	781	-0.0928	0.0307	AAVSO
2457075.405	802	-0.0358	0.0097	ASASSN-V
2457215.878	822	-0.0447	0.0072	KWS
2457524.903	866	-0.0784	0.0099	ASASSN-V
2457665.417	886	-0.0459	0.0078	KWS
2457974.49	930	-0.0328	0.0117	ASASSN-V
2458241.395	968	-0.0431	0.0084	KWS
2458690.928	1032	-0.051	0.0208	KWS
