HJD	Epoch	O-C	O-Cerr	Source
2414496.341	-2316	0.0115	0.1	Szabados1989 Arch.
2415946.443	-2101	-0.1107	0.1	Szabados1989 Arch.
2417329.147	-1896	-0.1787	0.1	Szabados1989 Arch.
2418475.855	-1726	-0.1596	0.1	Szabados1989 Arch.
2419609.067	-1558	-0.1461	0.1	Szabados1989 Arch.
2420459.006	-1432	-0.1059	0.1	Szabados1989 Arch.
2421308.978	-1306	-0.0328	0.1	Szabados1989 Arch.
2423244.642	-1019	-0.2495	0.1	Szabados1989 Arch.
2424674.684	-807	-0.1961	0.1	Szabados1989 Arch.
2424694.765	-804	-0.3507	0.1	Szabados1989 Arch.
2425059.149	-750	-0.2091	0.1	Szabados1989 Arch.
2433091.727	441	-0.4285	0.0261	AAVSO
2433091.752	441	-0.4035	0.0119	Mitchell1964
2433133.03	447	-0.3672	0.04	Szabados1989 Arch.
2434582.346	662	-0.5057	0.0683	AAVSO
2434582.427	662	-0.4246	0.0291	Mitchell1964
2434758.595	688	-0.4024	0.04	Szabados1989 Arch.
2435243.458	760	-0.4258	0.0061	Irwin1961
2435243.495	760	-0.3884	0.0141	Mitchell1964
2435243.51	760	-0.3737	0.0258	AAVSO
2435284.729	766	-0.3963	0.02	Szabados1989 Arch.
2435952.493	865	-0.4099	0.04	Szabados1989 Arch.
2435978.635	869	-0.4786	0.0431	AAVSO
2435978.718	869	-0.3961	0.0145	Mitchell1964
2436754.417	984	-0.3984	0.0055	Mitchell1964
2436754.471	984	-0.3441	0.0267	AAVSO
2436782.149	988	-0.4171	0.02	Szabados1989 Arch.
2437051.277	1028	-0.328	0.015	Mitchell1961
2437099.195	1035	-0.3969	0.02	Szabados1989 Arch.
2437119.444	1038	-0.3836	0.04	Szabados1989 Arch.
2437180.138	1047	-0.3966	0.04	Szabados1989 Arch.
2437199.61	1050	-0.3902	0.0541	AAVSO
2437199.621	1050	-0.3789	0.0275	Mitchell1964
2437800.793	1139	-0.3027	0.06	Szabados1989 Arch.
2438920.467	1305	-0.3367	0.04	Szabados1989 Arch.
2439675.918	1417	-0.3513	0.04	Szabados1989 Arch.
2440734.11	1574	-0.39	0.1331	Pel1976
2440788.948	1582	-0.2841	0.02	Szabados1989 Arch.
2440829.379	1588	-0.3245	0.06	Szabados1989 Arch.
2442448.2	1828	-0.3585	0.04	Szabados1989 Arch.
2443243.359	1946	-0.3662	0.0079	Moffett1984
2443486.971	1982	-0.3527	0.02	Szabados1989 Arch.
2443608.399	2000	-0.3389	0.02	Szabados1989 Arch.
2443688.544	2012	-0.3664	0.022	Moffett1984
2444120.245	2076	-0.3605	0.0121	Eggen1985
2444390.044	2116	-0.3704	0.0042	Gieren1981
2444411.081	2119	-0.3391	0.02	Szabados1989 Arch.
2444417.033	2120	-0.3621	0.0162	Berdnikov2008
2444458.345	2126	-0.2917	0.02	Szabados1989 Arch.
2444721.388	2165	-0.3126	0.02	Szabados1989 Arch.
2444801.58	2177	-0.2931	0.0989	Eggen1985
2445482.784	2278	-0.3578	0.0129	Berdnikov2008
2447405.226	2563	-0.3053	0.008	Berdnikov2008
2447958.305	2645	-0.3354	0.003	Hipp
2448099.996	2666	-0.2939	0.008	Berdnikov2008
2448484.47	2723	-0.2982	0.0061	Hipp
2448828.39	2774	-0.3849	0.2242	AAVSO
2448848.735	2777	-0.2753	0.0133	Berdnikov2008
2449516.501	2876	-0.2879	0.0109	Berdnikov2008
2449961.668	2942	-0.3051	0.0083	Berdnikov2008
2449975.102	2944	-0.3618	0.036	AAVSO
2450420.361	3010	-0.288	0.0366	AAVSO
2450568.785	3032	-0.2597	0.0048	Berdnikov2008
2450905.963	3082	-0.3428	0.0462	AAVSO
2451243.32	3132	-0.2473	0.0096	Berdnikov2008
2452356.276	3297	-0.2535	0.0057	Berdnikov2008
2452437.221	3309	-0.2513	0.0172	ASAS
2452882.387	3375	-0.2706	0.0185	ASAS
2453078.028	3404	-0.2415	0.0095	Berdnikov2008
2453415.271	3454	-0.2597	0.0109	ASAS
2453860.441	3520	-0.2745	0.0152	ASAS
2453961.537	3535	-0.3572	0.0319	AAVSO
2454305.673	3586	-0.2276	0.0064	ASAS
2454656.338	3638	-0.3151	0.038	AAVSO
2454750.883	3652	-0.2031	0.0117	ASAS
2455101.62	3704	-0.218	0.0498	AAVSO
2455654.623	3786	-0.3239	0.0221	KWS
2455708.646	3794	-0.263	0.0441	AAVSO
2456120.128	3855	-0.2394	0.0088	KWS
2456754.205	3949	-0.214	0.0119	KWS
2456909.392	3972	-0.1676	0.0069	Gaia-dr2
2457199.384	4015	-0.22	0.0074	KWS
2457691.915	4088	-0.0909	0.0252	AAVSO
2457853.698	4112	-0.1934	0.0065	KWS
2458251.717	4171	-0.1434	0.0405	AAVSO
2458312.36	4180	-0.2066	0.0131	KWS
