HJD	Epoch	O-C	O-Cerr	Source
2447166.597	-327	-0.0169	0.1049	Henden1996
2448506.265	0	0.0	0.0077	Berdnikov2008
2448870.887	89	0.0072	0.0174	Berdnikov2008
2451455.987	720	0.0301	0.0051	NSVS
2451980.303	848	-0.0426	0.0237	ASAS-SN
2452496.521	974	-0.0211	0.0139	ASAS-SN
2452885.701	1069	-0.0369	0.0116	ASAS-SN
2453070.061	1114	-0.032	0.0128	Berdnikov2008
2453270.841	1163	0.0047	0.0155	ASAS-SN
2453627.28	1250	0.0227	0.0204	ASAS-SN
2454090.147	1363	-0.0475	0.0122	ASAS-SN
2454438.37	1448	-0.0518	0.0097	ASAS-SN
2454786.654	1533	0.0041	0.0143	ASAS-SN
2455143.094	1620	0.0231	0.1099	ASAS-SN
2456220.482	1883	-0.0453	0.0362	KWS
2456576.845	1970	-0.1028	0.0374	KWS
2456634.267	1984	-0.0365	0.0069	Berdnikov2015
2456933.326	2057	-0.0429	0.0486	KWS
2457007.095	2075	-0.0163	0.003	ASAS
2457305.952	2148	-0.2257	0.0546	KWS
2457355.32	2160	-0.019	0.0038	ASAS
2457666.715	2236	0.0198	0.04	KWS
2457703.538	2245	-0.0288	0.0022	ASAS
2458047.703	2329	0.0061	0.0385	KWS
2458072.265	2335	-0.0133	0.0032	ASAS
2458403.947	2416	-0.1713	0.0482	KWS
2458420.483	2420	-0.022	0.0145	ASAS
