HJD	Epoch	O-C	O-Cerr	Source
2412126.365	-5710	0.7522	0.0451	AAVSO
2412474.382	-5658	0.5377	0.0433	AAVSO
2412822.69	-5606	0.6135	0.0353	AAVSO
2413170.863	-5554	0.5545	0.0288	AAVSO
2413519.075	-5502	0.5351	0.0304	AAVSO
2413867.926	-5450	1.1539	0.096	AAVSO
2414503.477	-5355	0.5124	0.026	AAVSO
2414986.058	-5283	0.9261	0.24	AAVSO
2415340.312	-5230	0.2512	0.0624	AAVSO
2416077.117	-5120	0.4119	0.0609	AAVSO
2416452.233	-5064	0.5091	0.0361	AAVSO
2416921.086	-4994	0.5886	0.0509	AAVSO
2417664.417	-4883	0.5782	0.0307	AAVSO
2418247.107	-4796	0.649	0.1376	AAVSO
2418615.341	-4741	0.5609	0.0424	AAVSO
2419559.555	-4600	0.531	0.0504	AAVSO
2420544.031	-4453	0.5823	0.0593	AAVSO
2420945.877	-4393	0.6224	0.0506	AAVSO
2421307.484	-4339	0.6043	0.0487	AAVSO
2422064.025	-4226	0.4098	0.0603	AAVSO
2422412.292	-4174	0.4456	0.0753	AAVSO
2434867.795	-2314	-0.038	0.3203	Mitchell1964
2434867.926	-2314	0.0929	0.0502	AAVSO
2435230.691	-2260	0.2324	0.05	Szabados1989 Arch.
2435351.218	-2242	0.2176	0.05	Szabados1989 Arch.
2439575.75	-1611	0.0893	0.0189	Cousins1968
2439576.039	-1611	0.3785	0.1949	AAVSO
2439630.343	-1603	0.1084	0.03	Szabados1989 Arch.
2439924.036	-1559	0.1439	0.009	Cousins1968
2439924.137	-1559	0.2446	0.0575	AAVSO
2439958.494	-1554	0.1179	0.02	Szabados1989 Arch.
2440674.04	-1447	0.1098	0.0337	Pel1976
2440742.012	-1437	0.1141	0.02	Szabados1989 Arch.
2442858.163	-1121	0.0868	0.05	Szabados1989 Arch.
2444303.634	-905	0.0561	0.0105	Eggen1985
2444425.219	-887	0.0993	0.03	Szabados1989 Arch.
2447859.517	-374	-0.0443	0.0113	Hipp
2448207.776	-322	-0.0172	0.0099	Hipp
2448556.029	-270	0.004	0.0118	Hipp
2448944.265	-212	-0.1728	0.0223	Hipp
2450350.768	-2	0.0097	0.007	Berdnikov2008
2450886.499	78	-0.0008	0.009	Berdnikov2008
2451248.126	132	0.0003	0.0082	Berdnikov2008
2451616.466	187	0.0182	0.0068	Berdnikov2008
2451877.649	226	0.0274	0.0371	ASAS
2451964.684	239	0.0043	0.015	Berdnikov2008
2452225.784	278	-0.0692	0.0331	ASAS
2452312.93	291	0.0187	0.0053	Berdnikov2008
2452574.074	330	-0.0107	0.0069	ASAS
2452661.146	343	0.0024	0.0104	Berdnikov2008
2452922.287	382	-0.0297	0.0099	ASAS
2453009.341	395	-0.0344	0.0131	Berdnikov2008
2453357.625	447	0.0179	0.0075	ASAS
2453705.842	499	0.0027	0.0068	ASAS
2454087.573	556	0.0187	0.0082	ASAS
2454435.785	608	-0.0018	0.0079	ASAS
2454784.005	660	-0.0131	0.0099	ASAS
2456866.792	971	0.0794	0.0076	Gaia-dr2
2457221.724	1024	0.0828	0.0116	Gaia-dr2
2457415.827	1053	-0.021	0.0124	ASASSN-V
2457764.108	1105	0.0287	0.0114	ASASSN-V
2458112.303	1157	-0.0088	0.0114	ASASSN-V
