HJD	Epoch	O-C	O-Cerr	Source
2434867.067	-773	-0.5258	0.3923	AAVSO
2434867.721	-773	0.1286	0.1603	Mitchell1964
2439147.289	-587	-0.95	0.6498	AAVSO
2441172.853	-499	-0.6382	0.4634	AAVSO
2441748.093	-474	-0.7538	0.2136	Madore1975
2443865.276	-382	-0.8798	0.4626	AAVSO
2443888.32	-381	-0.8499	0.2467	Coulson1985
2444625.242	-349	-0.3836	0.1319	Coulson1985
2444969.679	-334	-1.1596	0.1907	Coulson1985
2446074.795	-286	-0.7269	0.3288	AAVSO
2446419.936	-271	-0.7991	0.2602	AAVSO
2446765.617	-256	-0.3318	0.2816	AAVSO
2447893.688	-207	0.0423	0.0824	Hipp
2448238.79	-192	-0.0696	0.1008	Hipp
2448584.32	-177	0.247	0.0654	Hipp
2448998.586	-159	0.2568	0.1517	AAVSO
2449504.725	-137	0.0825	0.0588	Berdnikov2008
2450103.137	-111	0.1254	0.8961	AAVSO
2450540.271	-92	-0.0113	0.044	Berdnikov2008
2450816.4	-80	-0.0532	0.1365	AAVSO
2450885.677	-77	0.1813	0.0542	Berdnikov2008
2451230.798	-62	0.0886	0.051	Berdnikov2008
2451598.995	-46	0.0582	0.0459	Berdnikov2008
2451875.238	-34	0.1304	0.0489	ASAS
2451944.239	-31	0.0891	0.0335	Berdnikov2015
2451944.241	-31	0.0906	0.0355	Berdnikov2008
2452220.195	-19	-0.1263	0.1094	ASAS
2452312.512	-15	0.1339	0.0356	Berdnikov2008
2452611.582	-2	0.0186	0.0436	ASAS
2452657.71	0	0.1186	0.0637	Berdnikov2008
2452956.911	13	0.1345	0.0553	ASAS
2453003.048	15	0.2426	0.0711	Berdnikov2008
2453025.995	16	0.1763	0.1455	AAVSO
2453118.063	20	0.1872	0.009	IOMC
2453348.314	30	0.2957	0.0391	ASAS
2453371.175	31	0.142	0.0862	AAVSO
2453693.613	45	0.3812	0.046	ASAS
2453762.817	48	0.5424	0.0668	AAVSO
2454084.825	62	0.3518	0.0353	ASAS
2454107.841	63	0.3528	0.0854	AAVSO
2454131.06	64	0.5581	0.0184	IOMC
2454430.207	77	0.5197	0.0483	ASAS
2454522.191	81	0.4465	0.2819	AAVSO
2456317.667	159	0.8129	0.0403	Bochum
2456686.023	175	0.9414	0.046	Bochum
2457399.528	206	1.0056	0.0209	ASASSN-V
2457468.586	209	1.0203	0.2268	AAVSO
2457744.72	221	0.9841	0.0179	ASASSN-V
2458089.898	236	0.9487	0.0159	ASASSN-V
2458504.115	254	0.9089	0.4723	AAVSO
