HJD	Epoch	O-C	O-Cerr	Source
2437809.244	-435	-0.2032	0.0561	Walraven1964
2443889.691	-48	1.4708	0.0983	Coulson1985
2444266.148	-24	0.9495	0.548	Eggen1983
2444376.252	-17	1.1009	0.0689	Coulson1985
2444721.989	5	1.2752	0.037	Coulson1985
2447880.22	206	2.3138	0.118	Hipp
2448570.887	250	1.8537	0.2434	Hipp
2450534.387	375	1.9257	0.0423	Berdnikov2008
2450879.97	397	1.9449	0.0226	Berdnikov2008
2451241.239	420	1.9433	0.0116	Berdnikov2008
2451618.072	444	1.7983	0.0188	Berdnikov2008
2451885.593	461	2.2929	0.1872	ASAS
2451963.6	466	1.7631	0.0607	Berdnikov2008
2452230.839	483	1.9752	0.0835	ASAS
2452309.192	488	1.7911	0.0118	Berdnikov2008
2452623.506	508	1.9566	0.0173	ASAS
2452654.82	510	1.8562	0.0154	Berdnikov2008
2452969.099	530	1.9866	0.0243	ASAS
2453000.37	532	1.843	0.0205	Berdnikov2008
2453361.547	555	1.7485	0.0123	ASAS
2453707.131	577	1.7698	0.013	ASAS
2454084.033	601	1.6938	0.0095	ASAS
2454429.59	623	1.6875	0.0122	ASAS
2454775.169	645	1.7025	0.0116	ASAS
2456628.538	763	1.5955	0.0111	Berdnikov2015
2457429.486	814	1.4645	0.012	ASASSN-V
2457775.066	836	1.4817	0.0104	ASASSN-V
2458120.692	858	1.544	0.0124	ASASSN-V
2458183.381	862	1.4036	0.0105	ASASSN-g
2458528.895	884	1.3538	0.0071	ASASSN-g
2458874.456	906	1.3514	0.0104	ASASSN-g
