HJD	Epoch	O-C	O-Cerr	Source
2416342.813	-2786	-0.8495	0.06	Szabados1989 Arch.
2418028.602	-2623	-0.6807	0.06	Szabados1989 Arch.
2419631.411	-2468	-0.7619	0.06	Szabados1989 Arch.
2421337.791	-2303	-0.6845	0.06	Szabados1989 Arch.
2423220.027	-2121	-0.552	0.06	Szabados1989 Arch.
2424347.261	-2012	-0.5118	0.06	Szabados1989 Arch.
2429869.583	-1478	-0.4054	0.06	Szabados1989 Arch.
2431317.362	-1338	-0.3982	0.06	Szabados1989 Arch.
2432610.015	-1213	-0.3987	0.06	Szabados1989 Arch.
2433106.422	-1165	-0.3706	0.06	Szabados1989 Arch.
2433178.761	-1158	-0.4202	0.06	Szabados1989 Arch.
2434833.443	-998	-0.3347	0.06	Szabados1989 Arch.
2436725.914	-815	-0.5086	0.0715	Mitchell1964
2436767.263	-811	-0.3242	0.04	Szabados1989 Arch.
2437491.251	-741	-0.2222	0.04	Szabados1989 Arch.
2440748.989	-426	-0.1708	0.0098	Pel1976
2440841.857	-417	-0.174	0.02	Szabados1989 Arch.
2441121.21	-390	-0.2341	0.0698	Pel1976
2444037.652	-108	-0.0184	0.0313	Moffett1984
2444068.958	-105	0.2641	0.1014	Berdnikov2008
2444285.578	-84	-0.0818	0.02	Szabados1989 Arch.
2444378.982	-75	0.0515	0.0078	Moffett1984
2444451.459	-68	0.1398	0.0157	Berdnikov2008
2444802.901	-34	-0.0206	0.0223	Berdnikov2008
2444823.741	-32	0.1373	0.0188	Moffett1984
2444947.444	-20	-0.0544	0.02	Szabados1989 Arch.
2445154.523	0	0.0	0.0132	Berdnikov2008
2445495.492	33	-0.0914	0.06	Szabados1989 Arch.
2445495.842	33	0.0583	0.0271	Berdnikov2008
2445868.004	69	-0.0634	0.0138	Berdnikov2008
2445878.138	70	-0.0709	0.02	Szabados1989 Arch.
2447398.409	217	-0.1607	0.0154	Berdnikov2008
2447957.224	271	0.2288	0.0167	Hipp
2448308.596	305	-0.0009	0.0148	Hipp
2448701.733	343	0.1695	0.0446	Hipp
2449931.924	462	-0.2466	0.0496	Berdnikov2008
2451958.978	658	-0.0727	0.0103	ASAS
2452434.669	704	-0.0784	0.0136	ASAS
2452755.127	735	-0.1987	0.0063	IOMC
2452776.071	737	0.063	0.0259	ASAS
2453096.605	768	0.0189	0.006	IOMC
2453117.281	770	0.0129	0.0088	ASAS
2453458.624	803	0.0957	0.0279	ASAS
2453479.172	805	-0.0395	0.0047	IOMC
2453799.836	836	0.0468	0.0236	ASAS
2453841.337	840	0.1832	0.0092	IOMC
2454161.831	871	0.0986	0.0245	ASAS
2454399.588	894	0.0077	0.0051	IOMC
2454534.142	907	0.1258	0.0236	ASAS
2454895.967	942	0.0076	0.0067	IOMC
2454906.37	943	0.0691	0.0407	ASAS
2455444.282	995	0.2378	0.0142	Bochum
2455661.452	1016	0.2415	0.0558	KWS
2456043.939	1053	0.1029	0.0304	KWS
2456209.621	1069	0.3256	0.0087	Bochum
2456405.962	1088	0.1832	0.012	KWS
2456550.916	1102	0.3603	0.0304	Bochum
2456757.428	1122	0.0475	0.0108	Berdnikov2015
2456757.491	1122	0.1102	0.0164	KWS
2456892.178	1135	0.3615	0.0157	Bochum
2456912.422	1137	-0.0767	0.0835	Gaia-dr2
2457129.777	1158	0.1126	0.0111	KWS
2457419.409	1186	0.1896	0.0082	ASASSN-V
2457491.839	1193	0.2318	0.0131	KWS
2457801.981	1223	0.1363	0.0077	ASASSN-V
2457833.017	1226	0.1485	0.0102	KWS
2458174.359	1259	0.2306	0.0106	KWS
2458184.62	1260	0.1501	0.009	ASASSN-V
2458577.576	1298	0.1394	0.0314	KWS
