HJD	Epoch	O-C	O-Cerr	Source
2418356.17	-2248	0.1864	0.0484	AAVSO
2418715.327	-2215	0.1169	0.0913	AAVSO
2419063.776	-2183	0.2258	0.1093	AAVSO
2419412.163	-2151	0.2717	0.05	AAVSO
2419771.345	-2118	0.2276	0.0696	AAVSO
2420108.601	-2087	0.2289	0.06	Szabados1991 Arch.
2420119.702	-2086	0.2442	0.1077	AAVSO
2420467.985	-2054	0.1865	0.0487	AAVSO
2421534.721	-1956	0.3298	0.06	Szabados1991 Arch.
2426542.105	-1496	0.3185	0.06	Szabados1991 Arch.
2427108.157	-1444	0.3171	0.06	Szabados1991 Arch.
2428229.624	-1341	0.563	0.06	Szabados1991 Arch.
2428741.16	-1294	0.4738	0.06	Szabados1991 Arch.
2432768.42	-924	-0.1539	0.2232	Eggen1951
2432768.874	-924	0.3002	0.036	AAVSO
2432769.185	-924	0.6111	0.1812	Mitchell1964
2433084.478	-895	0.4207	0.02	Szabados1991 Arch.
2433117.296	-892	0.3814	0.0344	AAVSO
2433117.464	-892	0.5497	0.1853	Mitchell1964
2433117.469	-892	0.5547	0.0508	Eggen1951
2433519.846	-855	0.363	0.06	Szabados1991 Arch.
2434575.782	-758	0.3917	0.06	Szabados1991 Arch.
2434967.738	-722	0.4646	0.06	Szabados1991 Arch.
2435751.452	-650	0.4124	0.02	Szabados1991 Arch.
2436230.385	-606	0.3771	0.02	Szabados1991 Arch.
2436818.199	-552	0.1664	0.1726	Mitchell1964
2436818.399	-552	0.3667	0.0164	AAVSO
2436829.095	-551	0.3768	0.02	Szabados1991 Arch.
2437166.325	-520	-0.048	0.1794	Mitchell1964
2437166.708	-520	0.3345	0.0372	AAVSO
2437199.191	-517	0.361	0.02	Szabados1991 Arch.
2437928.575	-450	0.407	0.06	Szabados1991 Arch.
2439180.423	-335	0.4061	0.02	Szabados1991 Arch.
2439768.312	-281	0.4705	0.04	Szabados1991 Arch.
2440083.936	-252	0.4109	0.02	Szabados1991 Arch.
2440791.548	-187	0.4561	0.02	Szabados1991 Arch.
2441324.953	-138	0.4647	0.02	Szabados1991 Arch.
2442250.54	-53	0.5719	0.114	AAVSO
2442598.812	-21	0.5038	0.061	AAVSO
2442642.235	-17	0.3837	0.0206	Szabados1981
2442674.769	-14	0.4611	0.02	Szabados1991 Arch.
2443708.881	81	0.4371	0.02	Szabados1991 Arch.
2444101.037	117	0.5102	0.0289	Moffett1984
2444318.486	137	0.4461	0.02	Szabados1991 Arch.
2444460.172	150	0.4186	0.0144	Moffett1984
2444819.314	183	0.3347	0.0078	Moffett1984
2444938.988	194	0.4665	0.02	Szabados1991 Arch.
2445581.484	253	0.5094	0.0484	AAVSO
2445646.758	259	0.4699	0.0213	Berdnikov2008
2445679.155	262	0.4099	0.02	Szabados1991 Arch.
2445929.706	285	0.3912	0.0359	AAVSO
2446278.227	317	0.5711	0.0594	AAVSO
2446680.93	354	0.5062	0.0492	AAVSO
2446702.305	356	0.3095	0.06	Szabados1991 Arch.
2447050.763	388	0.2265	0.0486	AAVSO
2447126.952	395	0.4165	0.02	Szabados1991 Arch.
2447399.308	420	0.4313	0.0102	Berdnikov2008
2447421.046	422	0.3985	0.0774	AAVSO
2447747.632	452	0.4147	0.0138	Berdnikov2008
2447769.506	454	0.5173	0.0545	AAVSO
2448106.882	485	0.4387	0.0148	Berdnikov2008
2448182.93	492	0.2876	0.1115	AAVSO
2448498.712	521	0.386	0.0184	Berdnikov2008
2448847.044	553	0.3769	0.0116	Berdnikov2008
2449609.0	623	0.3386	0.0286	Berdnikov2008
2449957.341	655	0.3385	0.0834	Berdnikov2008
2449968.326	656	0.4375	0.0292	AAVSO
2450305.703	687	0.3597	0.0175	Berdnikov2008
2450316.695	688	0.4662	0.0296	AAVSO
2450665.063	720	0.4936	0.0373	AAVSO
2451013.521	752	0.611	0.0569	AAVSO
2451361.755	784	0.5046	0.0603	AAVSO
2451710.097	816	0.5059	0.0268	AAVSO
2452058.161	848	0.2298	0.0757	AAVSO
2452853.115	921	0.5316	0.0492	AAVSO
2453223.214	955	0.5188	0.0339	AAVSO
2453582.526	988	0.6044	0.0836	AAVSO
2453985.159	1025	0.4686	0.0331	AAVSO
2454333.324	1057	0.2938	0.0503	AAVSO
2454692.754	1090	0.4975	0.0641	AAVSO
2455040.965	1122	0.3679	0.0661	AAVSO
2455389.512	1154	0.5745	1.049	AAVSO
2455759.509	1188	0.459	0.011	KWS
2455759.522	1188	0.4724	0.1123	AAVSO
2456107.829	1220	0.4392	0.0103	KWS
2456477.98	1254	0.4784	0.0094	KWS
2456543.258	1260	0.4417	0.1124	AAVSO
2456848.093	1288	0.4796	0.0097	KWS
2457000.499	1302	0.4859	0.0136	ASASSN-V
2457218.192	1322	0.4662	0.0065	KWS
2457272.741	1327	0.5874	0.038	AAVSO
2457348.92	1334	0.5665	0.0195	ASASSN-V
2457599.2	1357	0.4771	0.0065	KWS
2457621.111	1359	0.6167	0.0355	AAVSO
2457697.25	1366	0.5563	0.0158	ASASSN-V
2457947.557	1389	0.4935	0.011	KWS
2457969.401	1391	0.5662	0.0327	AAVSO
2458045.627	1398	0.5926	0.0226	ASASSN-V
2458306.798	1422	0.5082	0.0065	KWS
2458317.706	1423	0.5306	0.0229	AAVSO
2458393.851	1430	0.4759	0.026	ASASSN-V
