HJD	Epoch	O-C	O-Cerr	Source
2396088.46	-2733	-1.3575	0.04	Szabados1991 Arch.
2396423.691	-2700	-1.1513	0.04	Berdnikov1999 Arch.
2396474.171	-2695	-1.4335	0.04	Szabados1991 Arch.
2396565.025	-2686	-1.9497	0.04	Szabados1991 Arch.
2396586.001	-2684	-1.2776	0.04	Berdnikov1999 Arch.
2397134.541	-2630	-0.9601	0.04	Berdnikov1999 Arch.
2397154.522	-2628	-1.2837	0.04	Szabados1991 Arch.
2397459.54	-2598	-0.8342	0.04	Szabados1991 Arch.
2397519.972	-2592	-1.3154	0.04	Szabados1991 Arch.
2397672.591	-2577	-0.9804	0.04	Berdnikov1999 Arch.
2397875.454	-2557	-1.163	0.04	Szabados1991 Arch.
2398241.361	-2521	-0.7377	0.04	Szabados1991 Arch.
2398454.451	-2500	-0.8451	0.04	Berdnikov1999 Arch.
2398536.309	-2492	-0.2053	0.04	Szabados1991 Arch.
2398586.501	-2487	-0.7749	0.04	Szabados1991 Arch.
2398769.281	-2469	-0.7354	0.04	Berdnikov1999 Arch.
2398769.491	-2469	-0.5254	0.04	Berdnikov1999 Arch.
2398982.735	-2448	-0.4793	0.04	Szabados1991 Arch.
2399317.451	-2415	-0.7883	0.04	Szabados1991 Arch.
2399632.689	-2384	-0.2704	0.04	Szabados1991 Arch.
2399723.764	-2375	-0.5658	0.04	Szabados1991 Arch.
2399855.831	-2362	-0.4782	0.04	Berdnikov1999 Arch.
2399856.001	-2362	-0.3082	0.04	Berdnikov1999 Arch.
2400099.933	-2338	-0.0314	0.04	Szabados1991 Arch.
2400952.751	-2254	-0.0033	0.04	Berdnikov1999 Arch.
2401927.497	-2158	0.1241	0.04	Szabados1991 Arch.
2402049.621	-2146	0.4217	0.04	Berdnikov1999 Arch.
2402229.369	-2128	-0.0716	0.1099	AAVSO
2402313.38	-2120	0.221	0.04	Szabados1991 Arch.
2402575.081	-2094	0.4629	0.1094	AAVSO
2402597.671	-2092	0.2491	0.04	Berdnikov1999 Arch.
2402648.652	-2087	0.4686	0.04	Szabados1991 Arch.
2402930.37	-2059	0.4231	0.2601	AAVSO
