HJD	Epoch	O-C	O-Cerr	Source
2411806.494	-814	11.7029	0.4383	AAVSO
2412090.845	-806	11.6423	0.4985	AAVSO
2412374.19	-798	10.5766	0.33	AAVSO
2412659.613	-790	11.589	0.6034	AAVSO
2412942.766	-782	10.3317	0.552	AAVSO
2413226.643	-774	9.7977	0.4401	AAVSO
2413511.126	-766	9.8701	0.3766	AAVSO
2413795.966	-758	10.2989	1.266	AAVSO
2414505.33	-738	8.6369	0.6118	AAVSO
2414788.945	-730	7.8413	0.8106	AAVSO
2415110.112	-721	9.0457	0.7078	AAVSO
2415394.441	-713	8.9642	0.3483	AAVSO
2415678.532	-705	8.6444	0.587	AAVSO
2415963.992	-697	9.694	0.5769	AAVSO
2416247.637	-689	8.9279	0.9282	AAVSO
2416568.145	-680	9.4736	0.3094	AAVSO
2416888.379	-671	9.7462	0.3661	AAVSO
2417172.782	-663	9.7378	0.9677	AAVSO
2417633.546	-650	8.3346	0.3186	AAVSO
2417919.002	-642	9.3795	0.8037	AAVSO
2418238.366	-633	8.7815	0.3026	AAVSO
2418593.922	-623	8.8241	0.5222	AAVSO
2418877.635	-615	8.1271	0.4517	AAVSO
2419162.324	-607	8.4045	0.6961	AAVSO
2419446.265	-599	7.9349	0.2701	AAVSO
2419730.881	-591	8.1409	0.735	AAVSO
2420263.667	-576	7.6565	0.2041	AAVSO
2421576.141	-539	4.7303	2.1822	AAVSO
2421862.485	-531	6.6635	1.0265	AAVSO
2422144.427	-523	4.1956	1.0554	AAVSO
2422429.831	-515	5.1881	0.7467	AAVSO
2422713.817	-507	4.764	0.4062	AAVSO
2422998.563	-499	5.0988	0.327	AAVSO
2423283.062	-491	5.1874	0.447	AAVSO
2423567.432	-483	5.1466	0.3182	AAVSO
2423852.143	-475	5.4468	0.3283	AAVSO
2424136.532	-467	5.4255	0.2622	AAVSO
2424491.495	-457	4.8746	0.6364	AAVSO
2426090.051	-412	3.6203	1.8745	AAVSO
2426374.379	-404	3.5379	0.5273	AAVSO
2426658.348	-396	3.0958	0.545	AAVSO
2426943.13	-388	3.4673	1.0444	AAVSO
2427511.328	-372	2.8439	1.0115	AAVSO
2427795.399	-364	2.5043	0.4646	AAVSO
2428080.77	-356	3.4645	0.3721	AAVSO
2428364.391	-348	2.675	0.3997	AAVSO
2428649.042	-340	2.9148	0.2732	AAVSO
2428933.15	-332	2.6121	0.2513	AAVSO
2429217.264	-324	2.3158	0.2349	AAVSO
2429501.339	-316	1.9801	0.3553	AAVSO
2429785.831	-308	2.0609	0.3621	AAVSO
2430070.439	-300	2.2585	0.2609	AAVSO
2430354.371	-292	1.7798	0.377	AAVSO
2430639.21	-284	2.2074	0.3136	AAVSO
2430924.021	-276	2.6081	0.5054	AAVSO
2431207.819	-268	1.9954	0.5056	AAVSO
2431493.053	-260	2.8182	0.3722	AAVSO
2431776.633	-252	1.9876	0.4106	AAVSO
2432061.201	-244	2.1451	0.5582	AAVSO
2432345.569	-236	2.1027	0.4624	AAVSO
2432629.976	-228	2.0986	0.4442	AAVSO
2432914.631	-220	2.3426	0.2957	AAVSO
2433199.622	-212	2.9228	0.4657	AAVSO
2433482.444	-204	1.3343	1.1599	AAVSO
2433732.104	-197	2.1348	0.1638	Mitchell1964
2433767.454	-196	1.9339	0.4013	AAVSO
2433807.235	-195	1.9663	0.03	Szabados1989 Arch.
