HJD	Epoch	O-C	O-Cerr	Source
2414839.365	-2330	-4.0261	0.2629	Harvard
2415189.965	-2298	-3.9556	0.0856	Harvard
2415530.125	-2267	-3.3703	0.1053	Harvard
2415869.313	-2236	-3.7571	0.076	Harvard
2416209.034	-2205	-3.6113	0.0722	Harvard
2416548.743	-2174	-3.4764	0.0823	Harvard
2416899.516	-2142	-3.2324	0.0632	Harvard
2417239.067	-2111	-3.2561	0.0612	Harvard
2417644.526	-2074	-3.0967	0.0844	Harvard
2417984.278	-2043	-2.9191	0.0434	Harvard
2418334.679	-2011	-3.0475	0.0319	Harvard
2418685.481	-1979	-2.7739	0.043	Harvard
2419123.717	-1939	-2.6992	0.0772	Harvard
2419507.087	-1904	-2.7201	0.0595	Harvard
2419879.741	-1870	-2.503	0.0778	Harvard
2420219.387	-1839	-2.4322	0.0537	Harvard
2420580.856	-1806	-2.4455	0.0328	Harvard
2420920.566	-1775	-2.3102	0.0438	Harvard
2421303.853	-1740	-2.414	0.0553	Harvard
2421687.355	-1705	-2.3036	0.0711	Harvard
2422049.005	-1672	-2.1365	0.0532	Harvard
2422399.787	-1640	-1.8833	0.0724	Harvard
2422804.82	-1603	-2.1494	0.7808	Harvard
2423155.633	-1571	-1.8654	0.0488	Harvard
2423505.972	-1539	-2.0553	0.1209	Harvard
2423900.467	-1503	-1.9046	0.1747	Harvard
2424240.262	-1472	-1.6843	0.076	Harvard
2424645.558	-1435	-1.6874	0.1628	Harvard
2425269.98	-1378	-1.6457	0.0976	Harvard
2425642.368	-1344	-1.6941	0.1851	Harvard
2426004.268	-1311	-1.2766	0.1336	Harvard
2426377.199	-1277	-0.7825	0.1431	Harvard
2426398.568	-1275	-1.322	0.06	Szabados1989 Arch.
2426738.489	-1244	-0.9755	0.0798	Harvard
2427099.805	-1211	-1.1423	0.0533	Harvard
2427472.637	-1177	-0.7477	0.1403	Harvard
2427691.609	-1157	-0.8562	0.06	Szabados1989 Arch.
2427866.59	-1141	-1.1393	0.0752	Harvard
2428206.305	-1110	-0.9995	0.0629	Harvard
2428546.3	-1079	-0.5796	0.0884	Harvard
2428896.693	-1047	-0.715	0.0617	Harvard
2429269.2	-1013	-0.6448	0.0656	Harvard
2429608.772	-982	-0.648	0.0458	Harvard
2429948.41	-951	-0.5849	0.0558	Harvard
2430320.741	-917	-0.6903	0.0516	Harvard
2430715.147	-881	-0.6291	0.0391	Harvard
2431087.763	-847	-0.4509	0.0464	Harvard
2431438.199	-815	-0.5436	0.0401	Harvard
2431821.624	-780	-0.5088	0.0464	Harvard
2432161.455	-749	-0.2531	0.0488	Harvard
2432588.7	-710	-0.2152	0.0488	Harvard
2432950.022	-677	-0.3763	0.091	Harvard
2433300.886	-645	-0.0409	0.1052	Harvard
2433662.05	-612	-0.3597	0.1377	Harvard
2434045.584	-577	-0.2173	0.1386	Harvard
2434812.461	-507	-0.1218	0.06	Szabados1989 Arch.
2435184.845	-473	-0.1749	0.0392	Irwin1961
2435206.784	-471	-0.1437	0.02	Szabados1989 Arch.
2435228.868	-468	0.032	0.0357	Mitchell1964
2435469.722	-447	-0.1024	0.06	Szabados1989 Arch.
2437792.066	-235	-0.0121	0.0272	Walraven1964
2437846.892	-230	0.0438	0.02	Szabados1989 Arch.
2440300.838	-5	0.2879	0.0852	Stobie1970
2440377.28	0	0.0515	0.02	Szabados1989 Arch.
2440738.88	34	0.169	0.1347	Harvard
2441100.21	67	0.016	0.0279	Grayzeck1978
2441111.123	67	-0.0253	0.04	Szabados1989 Arch.
2441593.136	111	0.0105	0.06	Szabados1989 Arch.
2441757.621	127	0.185	0.0642	Madore1975
2441768.428	127	0.0381	0.04	Szabados1989 Arch.
2442874.773	228	0.0264	0.02	Szabados1989 Arch.
2443904.41	322	-0.0152	0.0369	Coulson1985
2444068.688	337	-0.0476	0.02	Szabados1989 Arch.
2444386.314	366	-0.0881	0.019	Coulson1985
2444660.179	391	-0.074	0.02	Szabados1989 Arch.
2444791.611	403	-0.09	0.0213	Coulson1985
2445010.718	423	-0.0639	0.02	Szabados1989 Arch.
2450344.938	910	-0.4546	0.0065	Berdnikov2008
2450892.566	960	-0.5283	0.0056	Berdnikov2008
2451243.072	992	-0.5515	0.0062	Berdnikov2008
2451615.458	1026	-0.602	0.007	Berdnikov2008
2451954.971	1057	-0.6636	0.0073	Berdnikov2008
2452316.441	1090	-0.6773	0.0057	Berdnikov2008
2452436.824	1101	-0.7883	0.0059	ASAS
2452644.998	1120	-0.7409	0.0061	IOMC
2452655.954	1121	-0.7384	0.0069	Berdnikov2008
2452776.375	1132	-0.8124	0.0106	ASAS
2452995.504	1152	-0.7636	0.0076	Berdnikov2008
2453006.431	1153	-0.791	0.0079	IOMC
2453115.916	1163	-0.8458	0.0097	ASAS
2453367.845	1186	-0.8591	0.0148	IOMC
2453455.455	1194	-0.8817	0.0067	ASAS
2453751.261	1221	-0.8344	0.0087	IOMC
2453794.992	1225	-0.9193	0.0075	ASAS
2454101.734	1253	-0.8906	0.0036	IOMC
2454134.552	1256	-0.9345	0.0057	ASAS
2454463.157	1286	-0.9503	0.0016	IOMC
2454474.096	1287	-0.9655	0.0062	ASAS
2454813.617	1318	-1.0188	0.0141	ASAS
2456927.205	1511	-1.5587	0.0831	Gaia-dr2
