HJD	Epoch	O-C	O-Cerr	Source
2435156.38	-1048	0.4034	0.2496	Mitchell1964
2437804.178	-889	0.4967	0.0351	Walraven1964
2441766.615	-652	-0.2976	0.3557	Madore1975
2442849.102	-587	-0.2055	0.0732	Dean1977
2443865.383	-525	0.2891	0.1118	AAVSO
2443964.702	-520	-0.3049	0.3246	Coulson1985
2444247.798	-503	-0.2969	0.032	Eggen1983
2444248.099	-502	0.0037	0.1311	AAVSO
2444631.255	-479	0.158	0.407	AAVSO
2444647.484	-479	-0.2649	0.0196	Coulson1985
2444980.749	-459	-0.0449	0.1599	AAVSO
2444997.165	-458	-0.2804	0.0818	Coulson1985
2445363.793	-436	-0.0016	0.1628	AAVSO
2445729.766	-414	-0.3782	0.1285	AAVSO
2446079.884	-392	0.0427	0.2692	AAVSO
2446429.719	-371	0.1816	0.1323	AAVSO
2446779.139	-351	-0.0961	0.0951	AAVSO
2447129.234	-329	0.3025	0.0928	AAVSO
2447861.561	-286	-0.0682	0.0652	Hipp
2448211.269	-265	-0.0577	0.0227	Hipp
2448277.99	-260	0.0544	0.126	AAVSO
2448560.881	-244	-0.1421	0.0314	Hipp
2448661.167	-237	0.2304	0.2682	AAVSO
2449010.393	-217	-0.2408	0.1373	AAVSO
2449776.485	-171	-0.1512	0.3281	AAVSO
2450542.658	-124	0.0185	0.0124	Berdnikov2008
2450892.351	-103	0.0149	0.0161	Berdnikov2008
2451242.039	-82	0.0067	0.0209	Berdnikov2008
2451525.236	-65	0.1154	0.0994	AAVSO
2451608.387	-60	0.0047	0.0156	Berdnikov2008
2451874.826	-44	0.0084	0.0156	ASAS
2451958.062	-40	-0.0168	0.0254	Berdnikov2008
2452224.452	-24	-0.062	0.0255	ASAS
2452307.711	-19	-0.0647	0.0108	Berdnikov2008
2452624.168	0	0.0001	0.0119	ASAS
2452657.359	1	-0.1131	0.0097	IOMC
2452657.364	1	-0.1089	0.025	Berdnikov2008
2452973.892	21	0.0271	0.0136	ASAS
2453007.082	22	-0.0877	0.0134	Berdnikov2008
2453007.2	23	0.0309	0.0084	IOMC
2453040.573	25	0.0996	0.0503	AAVSO
2453356.792	43	-0.0747	0.0084	IOMC
2453356.917	44	0.0509	0.0208	ASAS
2453390.389	46	0.2182	0.05	AAVSO
2453706.591	65	0.0275	0.0114	ASAS
2453756.52	68	0.0006	0.0088	IOMC
2453756.638	68	0.1178	0.043	AAVSO
2454089.578	88	0.0136	0.011	ASAS
2454106.363	89	0.1463	0.0471	AAVSO
2454139.515	90	-0.0065	0.0083	IOMC
2454439.286	109	0.0249	0.0149	ASAS
2454855.526	133	-0.041	0.0077	IOMC
2456321.051	222	0.0879	0.0524	Bochum
2456704.031	245	0.0661	0.1103	AAVSO
2456704.141	245	0.1757	0.0217	Bochum
2457053.91	266	0.2482	0.0678	AAVSO
2457403.588	287	0.2296	0.0797	AAVSO
2457420.083	288	0.0726	0.0544	ASASSN-V
2457753.171	308	0.1152	0.106	AAVSO
2457769.738	309	0.0305	0.0291	ASASSN-V
2458103.098	329	0.3462	0.0677	AAVSO
2458119.63	330	0.2259	0.0275	ASASSN-V
2458269.203	338	-0.0717	0.0426	ASASSN-g
2458619.041	360	0.0695	0.0379	ASASSN-g
2458968.719	381	0.0501	0.0492	ASASSN-g
