HJD	Epoch	O-C	O-Cerr	Source
2412710.774	-2206	0.0484	0.1627	AAVSO
2417053.62	-1941	0.5525	0.1	Szabados1991 Arch.
2417692.977	-1902	0.8479	0.1	Szabados1991 Arch.
2423181.832	-1567	0.3279	0.1	Szabados1991 Arch.
2425115.385	-1449	0.31	0.1	Szabados1991 Arch.
2426803.107	-1346	0.254	0.1	Szabados1991 Arch.
2427147.176	-1325	0.213	0.1	Szabados1991 Arch.
2427327.216	-1314	0.0048	0.1	Szabados1991 Arch.
2428671.064	-1232	0.1849	0.1	Szabados1991 Arch.
2432456.727	-1001	0.6377	0.0503	AAVSO
2433030.031	-966	0.4243	0.02	Szabados1991 Arch.
2433079.341	-963	0.5758	0.1424	AAVSO
2433603.497	-931	0.3735	0.1	Szabados1991 Arch.
2434422.964	-881	0.5312	0.0701	AAVSO
2434603.341	-870	0.6597	0.02	Szabados1991 Arch.
2434767.265	-860	0.7223	0.1623	AAVSO
2435127.495	-838	0.4556	0.0897	AAVSO
2436094.428	-779	0.603	0.1	Szabados1991 Arch.
2436864.527	-732	0.551	0.2171	AAVSO
2437225.115	-710	0.6427	0.02	Szabados1991 Arch.
2437896.966	-669	0.6597	0.02	Szabados1991 Arch.
2438880.015	-609	0.5371	0.02	Szabados1991 Arch.
2439781.179	-554	0.4604	0.02	Szabados1991 Arch.
2440436.59	-514	0.4242	0.1186	AAVSO
2440584.043	-505	0.4009	0.04	Szabados1991 Arch.
2440780.8	-493	0.524	0.0716	AAVSO
2440928.127	-484	0.3748	0.04	Szabados1991 Arch.
2441124.899	-472	0.5131	0.068	AAVSO
2441469.025	-451	0.5285	0.0354	AAVSO
2441616.446	-442	0.4737	0.02	Szabados1991 Arch.
2441813.076	-430	0.4699	0.025	AAVSO
2442157.181	-409	0.4642	0.0202	AAVSO
2442501.263	-388	0.4364	0.0307	AAVSO
2442845.439	-367	0.5025	0.0267	AAVSO
2443189.465	-346	0.4181	0.0376	AAVSO
2443287.74	-340	0.3763	0.0812	Moffett1984
2443484.375	-328	0.3765	0.02	Szabados1991 Arch.
2443533.716	-325	0.5589	0.0365	AAVSO
2443631.827	-319	0.353	0.0339	Moffett1984
2443664.596	-317	0.3497	0.0381	Szabados1981
2443828.522	-307	0.4135	0.02	Szabados1991 Arch.
2443877.716	-304	0.4487	0.0353	AAVSO
2443992.401	-297	0.4309	0.0331	Moffett1984
2444090.6	-291	0.3129	0.0629	Szabados1981
2444090.669	-291	0.3814	0.02	Szabados1991 Arch.
2444221.876	-283	0.4993	0.0337	AAVSO
2444533.133	-264	0.4181	0.04	Szabados1991 Arch.
2444565.83	-262	0.3431	0.0306	AAVSO
2444910.081	-241	0.484	0.0381	AAVSO
2445254.107	-220	0.4	0.0381	AAVSO
2445483.432	-206	0.3182	0.0401	Berdnikov2008
2445532.633	-203	0.3603	0.02	Szabados1991 Arch.
2445598.177	-199	0.3596	0.0495	AAVSO
2445942.361	-178	0.4338	0.0413	AAVSO
2446286.368	-157	0.3302	0.0412	AAVSO
2446630.5	-136	0.3526	0.0376	AAVSO
2446974.735	-115	0.4779	0.0339	AAVSO
2447318.771	-94	0.4032	0.0388	AAVSO
2447417.059	-88	0.3743	0.0448	Berdnikov2008
2447662.879	-73	0.4016	0.0405	AAVSO
2447761.166	-67	0.3716	0.038	Berdnikov2008
2447908.544	-58	0.2732	0.02	Hipp
2448007.001	-52	0.4134	0.0466	AAVSO
2448105.194	-46	0.2889	0.0358	Berdnikov2008
2448252.718	-37	0.3372	0.0177	Hipp
2448367.447	-30	0.3631	0.0455	AAVSO
2448498.554	-22	0.3803	0.039	Berdnikov2008
2448596.769	-16	0.2784	0.0361	Hipp
2448711.643	-9	0.4494	0.0605	AAVSO
2448793.635	-4	0.5104	0.177	Barnes1997
2448842.619	-1	0.3357	0.0252	Berdnikov2008
2448940.89	4	0.289	0.0091	Hipp
2449055.677	11	0.373	0.042	AAVSO
2449399.801	32	0.3872	0.0547	AAVSO
2449612.752	45	0.3177	0.0265	Berdnikov2008
2449743.897	53	0.3724	0.0391	AAVSO
2449924.104	64	0.3312	0.05	Kiss1998
2449956.988	66	0.4431	0.0446	Berdnikov2008
2450087.962	74	0.3277	0.037	AAVSO
2450268.159	85	0.2767	0.056	Kiss1998
2450300.99	87	0.3349	0.0653	Berdnikov2008
2450432.052	95	0.3073	0.0261	AAVSO
2450776.273	116	0.4183	0.0283	AAVSO
2451120.347	137	0.3825	0.0264	AAVSO
2451464.448	158	0.3735	0.0304	AAVSO
2451808.485	179	0.2999	0.0305	AAVSO
2452152.676	200	0.3816	0.0298	AAVSO
2452496.628	221	0.2234	0.0292	AAVSO
2452840.925	242	0.4103	0.0311	AAVSO
2453184.874	263	0.2485	0.0399	AAVSO
2453529.051	284	0.3158	0.0285	AAVSO
2453873.232	305	0.3869	0.0258	AAVSO
2454217.284	326	0.3292	0.0225	AAVSO
2454561.444	347	0.3789	0.0263	AAVSO
2454905.642	368	0.4665	0.0242	AAVSO
2455249.716	389	0.4308	0.0358	AAVSO
2455593.659	410	0.263	0.0319	AAVSO
2455692.24	416	0.5273	0.0155	KWS
2455938.04	431	0.5341	0.0299	AAVSO
2456068.974	439	0.3786	0.0173	KWS
