HJD	Epoch	O-C	O-Cerr	Source
2417550.363	-4626	-1.9107	0.05	Szabados1991 Arch.
2419869.559	-4200	-1.9959	0.05	Szabados1991 Arch.
2420011.232	-4174	-1.8752	0.05	Szabados1991 Arch.
2420740.752	-4040	-1.8944	0.05	Szabados1991 Arch.
2421459.61	-3908	-1.6869	0.05	Szabados1991 Arch.
2421486.574	-3903	-1.9445	0.05	Szabados1991 Arch.
2423457.219	-3541	-2.1441	0.05	Szabados1991 Arch.
2426538.817	-2975	-2.0323	0.05	Szabados1991 Arch.
2426549.62	-2973	-2.118	0.05	Szabados1991 Arch.
2427105.079	-2871	-1.9798	0.05	Szabados1991 Arch.
2433535.188	-1690	-1.6151	0.01	Szabados1991 Arch.
2434357.398	-1539	-1.4977	0.05	Szabados1991 Arch.
2435707.749	-1291	-1.3387	0.0234	Thess
2435756.847	-1282	-1.2395	0.01	Szabados1991 Arch.
2436121.672	-1215	-1.184	0.05	Szabados1991 Arch.
2436192.392	-1202	-1.2402	0.01	Szabados1991 Arch.
2436486.449	-1148	-1.1766	0.01	Szabados1991 Arch.
2436731.431	-1103	-1.1884	0.0162	AAVSO
2436747.701	-1100	-1.2519	0.0179	Oosterhoff1960
2436785.896	-1093	-1.1673	0.01	Szabados1991 Arch.
2436796.754	-1091	-1.198	0.05	Szabados1991 Arch.
2436834.808	-1084	-1.2542	0.05	Szabados1991 Arch.
2436840.242	-1083	-1.2645	0.01	Szabados1991 Arch.
2437199.644	-1017	-1.1878	0.05	Szabados1991 Arch.
2437215.941	-1014	-1.2238	0.05	Szabados1991 Arch.
2437945.548	-880	-1.1559	0.05	Szabados1991 Arch.
2438305.005	-814	-1.0242	0.05	Szabados1991 Arch.
2438865.855	-711	-0.9393	0.05	Szabados1991 Arch.
2439677.017	-561	-0.9812	0.0316	Thess
2439715.195	-555	-0.9136	0.0554	Abaffy
2439742.416	-550	-0.9142	0.01	Szabados1991 Arch.
2440194.454	-466	-0.7549	0.01	Szabados1991 Arch.
2440777.009	-359	-0.7417	0.0227	Thess
2441332.569	-257	-0.5032	0.05	Szabados1991 Arch.
2442361.803	-68	-0.2462	0.0642	Szabados1980
2442737.335	0	-0.3723	0.01	Szabados1991 Arch.
2442938.666	37	-0.4807	0.0624	Szabados1980
2443630.368	164	-0.2074	0.1489	Henden1980
2443695.481	176	-0.4269	0.02	Szabados1991 Arch.
2444098.397	250	-0.3904	0.0154	Moffett1984
2444327.031	292	-0.4183	0.01	Szabados1991 Arch.
2444817.096	382	-0.3421	0.0069	Moffett1984
2444947.738	406	-0.364	0.01	Szabados1991 Arch.
2446608.233	710	-0.3874	0.0166	Berdnikov2008
2447397.684	855	-0.3628	0.0096	Berdnikov2008
2447860.712	940	-0.1015	0.0117	Hipp
2448100.187	984	-0.1769	0.0108	Berdnikov2008
2448367.047	1033	-0.0894	0.0083	Hipp
2448421.478	1044	-0.1012	0.0281	Barnes1997
2448797.201	1112	-0.036	0.0442	Arellano1998
2448851.545	1122	-0.1357	0.0131	Berdnikov2008
2448965.922	1143	-0.0892	0.0131	Hipp
2449156.492	1179	-0.0703	0.033	Barnes1997
2449537.466	1249	-0.1988	0.0456	Piszkes
2449619.147	1263	-0.1833	0.0166	Berdnikov2008
2450305.121	1389	-0.1931	0.013	Berdnikov2008
2450370.418	1402	-0.2283	0.0956	Piszkes
2452194.074	1737	-0.4205	0.0459	Piszkes
2452635.111	1817	-0.3736	0.0421	IOMC
2452896.485	1866	-0.327	0.046	Piszkes
2453163.213	1914	-0.3709	0.0686	AAVSO
2453163.236	1914	-0.3476	0.0254	IOMC
2453669.837	2007	-0.0687	0.0674	AAVSO
2454165.158	2098	-0.1808	0.057	AAVSO
2454693.652	2196	0.214	0.0823	AAVSO
2455199.786	2289	0.0256	0.0244	IOMC
2455700.858	2381	0.2203	0.0241	IOMC
2455755.293	2391	0.2124	0.0108	KWS
2456234.488	2479	0.307	0.0237	IOMC
2456267.12	2485	0.2729	0.0112	KWS
2456849.68	2592	0.29	0.0071	KWS
2456985.865	2617	0.3673	0.0545	IOMC
2457132.83	2644	0.3355	0.039	ASASSN-V
2457350.593	2684	0.3257	0.0064	KWS
2457628.297	2735	0.3696	0.0264	ASASSN-V
2457922.402	2789	0.4807	0.1824	IOMC
2457944.148	2793	0.4501	0.0103	KWS
2458227.147	2845	0.3436	0.0701	ASASSN-V
2458232.645	2846	0.3974	0.0254	ASASSN-g
2458439.592	2884	0.4602	0.0071	KWS
2458728.17	2937	0.4894	0.0312	ASASSN-g
