HJD	Epoch	O-C	O-Cerr	Source
2436735.418	-3800	-0.0312	0.0073	Mitchell1964
2436735.434	-3800	-0.0159	0.0077	Weaver1960
2437130.056	-3706	-0.0121	0.0112	Mitchell1964
2440731.998	-2848	-0.0164	0.0061	Pel1976
2448699.949	-950	-0.0057	0.0204	Hipp
2449934.189	-655	0.001	0.0105	Berdnikov2008
2450568.112	-504	0.0149	0.0029	Berdnikov2008
2451961.86	-172	0.0035	0.0033	ASAS
2452440.439	-58	0.0023	0.0021	ASAS
2452751.08	14	-0.0142	0.0042	IOMC
2452788.877	24	0.0004	0.0018	ASAS
2453141.52	108	0.0055	0.006	ASAS
2453284.248	141	-0.0015	0.0029	IOMC
2453489.956	191	0.0016	0.0027	ASAS
2453649.492	229	0.01	0.0025	IOMC
2453838.394	273	-0.0008	0.0041	ASAS
2454186.828	356	-0.0072	0.0027	ASAS
2454375.753	402	0.0049	0.0032	IOMC
2454535.266	439	-0.009	0.0033	ASAS
2454900.511	527	0.0041	0.0023	IOMC
2454904.696	527	-0.0089	0.0046	ASAS
2456042.357	798	-0.0261	0.0199	KWS
2456403.363	884	-0.0537	0.0428	KWS
2456751.861	968	0.0046	0.0015	Berdnikov2015
2456756.039	968	-0.0162	0.0091	KWS
2457054.109	1039	-0.0085	0.0016	ASASSN-V
2457150.666	1062	-0.0077	0.0059	KWS
2457423.546	1127	-0.0023	0.0023	ASASSN-V
2457503.284	1146	-0.0281	0.0108	KWS
2457797.181	1217	0.0046	0.0021	ASASSN-V
2457855.956	1231	0.0063	0.0048	KWS
2458183.401	1309	0.0017	0.0027	ASASSN-V
2458225.365	1318	-0.0151	0.0077	KWS
