HJD	Epoch	O-C	O-Cerr	Source
2414617.007	-2027	0.4663	0.1251	Harvard
2414999.09	-2006	0.49	0.0887	Harvard
2415308.328	-1989	0.4419	0.1091	Harvard
2415654.099	-1970	0.5401	0.0578	Harvard
2416036.236	-1949	0.6181	0.1608	Harvard
2416290.613	-1935	0.2888	0.03	Szabados1981 Arch.
2416381.886	-1930	0.5958	0.0928	Harvard
2416745.663	-1910	0.5069	0.0518	Harvard
2417109.519	-1890	0.4962	0.062	Harvard
2417454.935	-1871	0.2403	0.142	Harvard
2417509.537	-1868	0.262	0.03	Szabados1981 Arch.
2417910.048	-1846	0.5207	0.1397	Harvard
2418237.384	-1828	0.3767	0.0903	Harvard
2418546.815	-1811	0.5223	0.188	Harvard
2418983.313	-1787	0.3806	0.1059	Harvard
2419328.98	-1768	0.3757	0.079	Harvard
2419692.939	-1748	0.4685	0.0929	Harvard
2420075.259	-1727	0.7291	0.1336	Harvard
2420402.458	-1709	0.4494	0.0785	Harvard
2420420.436	-1708	0.2337	0.05	Szabados1981 Arch.
2420766.659	-1689	0.7844	0.0944	Harvard
2421148.175	-1668	0.2405	0.1854	Harvard
2421530.729	-1647	0.7353	0.1075	Harvard
2421548.525	-1646	0.3383	0.03	Szabados1981 Arch.
2421858.245	-1629	0.7724	0.1597	Harvard
2422020.93	-1620	-0.2824	0.1	Nijland1935 Arch.
2422239.93	-1608	0.3981	0.05	Szabados1981 Arch.
2422258.24	-1607	0.5148	0.1	Nijland1935 Arch.
2422294.045	-1605	-0.0671	0.1242	Harvard
2422440.63	-1597	0.9718	0.1	Nijland1935 Arch.
2422585.755	-1589	0.5502	0.0862	Harvard
2422622.66	-1587	1.0688	0.1	Nijland1935 Arch.
2422749.11	-1580	0.1658	0.1	Nijland1935 Arch.
2422786.02	-1578	0.6892	0.05	Szabados1981 Arch.
2422967.247	-1568	-0.0173	0.1402	Harvard
2422986.33	-1567	0.8729	0.1	Nijland1935 Arch.
2423113.36	-1560	0.5498	0.1	Nijland1935 Arch.
2423313.301	-1549	0.3648	0.1622	Harvard
2423350.6	-1547	1.277	0.1	Nijland1935 Arch.
2423695.223	-1528	0.2274	0.1896	Harvard
2423714.67	-1527	1.4811	0.1	Nijland1935 Arch.
2424040.907	-1509	0.2387	0.1056	Harvard
2424386.126	-1490	-0.2148	0.3032	Harvard
2424768.625	-1469	0.2254	0.1079	Harvard
2425114.211	-1450	0.1383	0.0692	Harvard
2425205.66	-1445	0.6208	0.05	Szabados1981 Arch.
2425241.72	-1443	0.2942	0.03	Szabados1981 Arch.
2425496.232	-1429	0.1005	0.0451	Harvard
2425587.785	-1424	0.6866	0.05	Szabados1981 Arch.
2425823.62	-1411	0.0087	0.05	Szabados1981 Arch.
2425841.912	-1410	0.1076	0.035	Harvard
2426205.727	-1390	0.056	0.0286	Harvard
2426315.01	-1384	0.1797	0.03	Szabados1981 Arch.
2426442.207	-1377	0.0234	0.0763	Detre1935
2426587.838	-1369	0.1083	0.0474	Harvard
2426606.26	-1368	0.337	0.05	Szabados1981 Arch.
2426733.331	-1361	0.0546	0.0555	Detre1935
2426751.64	-1360	0.1706	0.03	Szabados1981 Arch.
2426969.716	-1348	-0.0731	0.0521	Harvard
2427115.369	-1340	0.0338	0.0893	Detre1935
2427333.591	-1328	-0.0635	0.0391	Harvard
2427406.618	-1324	0.1898	0.0566	Detre1935
2427424.795	-1323	0.1737	0.03	Szabados1981 Arch.
2427679.333	-1309	0.0056	0.0447	Harvard
2427697.907	-1308	0.3865	0.1858	Detre1935
2428043.056	-1289	-0.1378	0.0437	Harvard
2428425.034	-1268	-0.219	0.0524	Harvard
2428770.855	-1249	-0.0706	0.0331	Harvard
2429116.457	-1230	-0.141	0.038	Harvard
2429170.93	-1227	-0.2477	0.03	Szabados1981 Arch.
2429462.142	-1211	-0.1289	0.0252	Harvard
2429862.396	-1189	-0.127	0.027	Harvard
2430226.354	-1169	-0.0353	0.0405	Harvard
2430626.454	-1147	-0.1876	0.0451	Harvard
2430990.486	-1127	-0.0217	0.0389	Harvard
2431335.965	-1108	-0.2145	0.0338	Harvard
2431681.658	-1089	-0.1943	0.0439	Harvard
2432063.742	-1068	-0.1696	0.0263	Harvard
2432445.876	-1047	-0.0946	0.0369	Harvard
2432809.439	-1027	-0.3975	0.0763	Harvard
2432846.025	-1025	-0.1985	0.03	Szabados1981 Arch.
2432973.338	-1018	-0.2386	0.03	Szabados1981 Arch.
2433173.639	-1007	-0.0635	0.0647	Harvard
2433537.438	-987	-0.1303	0.0417	Harvard
2433901.243	-967	-0.1915	0.0688	Harvard
2434301.733	-945	0.0461	0.1466	Harvard
2436811.94	-807	-0.4224	0.1831	Mitchell1964
2436830.288	-806	-0.2673	0.02	Szabados1981 Arch.
2437376.2	-776	-0.1542	0.05	Szabados1981 Arch.
2441924.007	-526	-0.6711	0.1525	Harvard
2442324.733	-504	-0.1973	0.2675	Harvard
2442670.52	-485	-0.0835	0.3834	Harvard
2443034.142	-465	-0.3272	0.1932	Harvard
2443416.147	-444	-0.3815	0.1436	Szabados1981
2443434.31	-443	-0.4118	0.1913	Harvard
2443761.843	-425	-0.3578	0.1553	Szabados1981
2443779.744	-424	-0.6502	0.0954	Harvard
2443816.489	-422	-0.292	0.01	Szabados1981 Arch.
2444162.073	-403	-0.381	0.2383	Harvard
2444507.89	-384	-0.2364	0.1485	Harvard
2444871.55	-364	-0.4423	0.1047	Harvard
2445198.862	-346	-0.61	0.0792	Harvard
2445581.089	-325	-0.4417	0.0554	Harvard
2445653.903	-321	-0.4009	0.0267	Berdnikov2008
2445926.423	-306	-0.7808	0.1489	Harvard
2446308.932	-285	-0.3301	0.0935	Harvard
