HJD	Epoch	O-C	O-Cerr	Source
2434560.113	-19	0.6564	0.1324	Mitchell1964
2434725.613	-10	0.6958	0.04	Szabados1989 Arch.
2434905.21	0	0.6071	0.0343	Mitchell1964
2435216.089	17	0.7013	0.02	Szabados1989 Arch.
2435250.373	19	0.6246	0.2738	Mitchell1964
2437793.457	159	0.5282	0.0329	Walraven1964
2437831.903	161	0.6728	0.02	Szabados1989 Arch.
2441644.654	371	0.6239	0.0359	Madore1975
2441737.333	376	0.5046	0.02	Szabados1989 Arch.
2443897.264	495	0.7023	0.143	Coulson1985
2443989.866	500	0.5066	0.04	Szabados1989 Arch.
2444242.046	514	0.3382	0.3943	Coulson1985
2444280.475	516	0.4664	0.04	Szabados1989 Arch.
2444280.593	516	0.5844	0.06	Szabados1989 Arch.
2444641.763	536	0.4133	0.1292	Coulson1985
2444680.082	538	0.4308	0.04	Szabados1989 Arch.
2444771.006	543	0.5269	0.04	Szabados1989 Arch.
2444987.047	555	0.5513	0.0156	Coulson1985
2445007.127	556	0.4955	0.02	Szabados1989 Arch.
2445715.615	595	0.5261	0.04	Szabados1989 Arch.
2445768.26	598	0.644	0.3259	Coulson1985
2447857.215	713	0.5582	0.0287	Hipp
2448202.404	732	0.6012	0.0131	Hipp
2448547.701	751	0.753	0.0143	Hipp
2448947.249	773	0.6581	0.0965	Hipp
2450527.929	860	0.9334	0.0201	Berdnikov2008
2450873.087	879	0.9456	0.0184	Berdnikov2008
2451236.438	899	0.9847	0.0148	Berdnikov2008
2451617.891	920	0.9613	0.0157	Berdnikov2008
2451872.227	934	0.9784	0.0172	ASAS
2451963.084	939	1.0077	0.0251	Berdnikov2008
2452217.395	953	1.001	0.0156	ASAS
2452308.221	958	0.999	0.0124	Berdnikov2008
2452562.581	972	1.0408	0.0092	ASAS
2452635.201	976	0.9986	0.015	IOMC
2452653.39	977	1.0218	0.0152	Berdnikov2008
2452907.796	991	1.1099	0.0098	ASAS
2452998.582	996	1.0687	0.0179	Berdnikov2008
2453125.676	1003	1.0037	0.0118	IOMC
2453343.781	1015	1.1213	0.016	ASAS
2453688.943	1034	1.1376	0.0183	ASAS
2454088.676	1056	1.2281	0.0172	ASAS
2454433.923	1075	1.3287	0.0218	ASAS
2454851.601	1098	1.1994	0.0083	IOMC
2456632.172	1196	1.5438	0.0166	Berdnikov2015
2457758.582	1258	1.6883	0.079	ASASSN-V
