HJD	Epoch	O-C	O-Cerr	Source
2408710.755	-1818	11.0546	0.08	Fernie1990 Arch.
2410029.305	-1741	10.9488	0.08	Fernie1990 Arch.
2410250.225	-1728	9.2386	0.08	Fernie1990 Arch.
2410918.755	-1689	9.878	0.08	Fernie1990 Arch.
2411278.745	-1668	10.2346	0.08	Fernie1990 Arch.
2411570.055	-1651	10.4128	0.05	Parenago1956 Arch.
2411604.285	-1649	10.392	0.08	Fernie1990 Arch.
2411621.405	-1648	10.3866	0.08	Fernie1990 Arch.
2411622.085	-1648	11.0666	0.08	Fernie1990 Arch.
2411913.305	-1631	11.1548	0.08	Fernie1990 Arch.
2411963.725	-1628	10.1986	0.08	Fernie1990 Arch.
2411965.135	-1628	11.6086	0.08	Fernie1990 Arch.
2412306.025	-1608	9.9906	0.08	Fernie1990 Arch.
2412306.655	-1608	10.6206	0.08	Fernie1990 Arch.
2412340.255	-1606	9.9698	0.08	Fernie1990 Arch.
2412648.235	-1588	9.6926	0.08	Fernie1990 Arch.
2412699.535	-1585	9.6164	0.08	Fernie1990 Arch.
2412699.975	-1585	10.0564	0.05	Parenago1956 Arch.
2412956.725	-1570	9.9254	0.08	Fernie1990 Arch.
2412956.815	-1570	10.0154	0.2	Parenago1956 Arch.
2412973.895	-1569	9.97	0.26	Parenago1956 Arch.
2412990.865	-1568	9.8146	0.08	Fernie1990 Arch.
2412992.365	-1568	11.3146	0.08	Fernie1990 Arch.
2413059.345	-1564	9.793	0.08	Fernie1990 Arch.
2413744.915	-1524	10.347	0.08	Fernie1990 Arch.
2414206.725	-1497	9.7712	0.08	Fernie1990 Arch.
2414497.085	-1480	8.9994	0.15	Parenago1956 Arch.
2414531.875	-1478	9.5386	0.08	Fernie1990 Arch.
2414857.295	-1459	9.576	0.08	Fernie1990 Arch.
2414874.515	-1458	9.6706	0.08	Fernie1990 Arch.
2415215.845	-1438	8.4926	0.08	Fernie1990 Arch.
2415216.925	-1438	9.5726	0.08	Fernie1990 Arch.
2415559.735	-1418	9.8746	0.08	Fernie1990 Arch.
2415901.135	-1398	8.7666	0.08	Fernie1990 Arch.
2415917.915	-1397	8.4212	0.08	Fernie1990 Arch.
2415952.945	-1395	9.2004	0.08	Fernie1990 Arch.
2416072.475	-1388	8.8526	0.08	Fernie1990 Arch.
2416415.125	-1368	8.9946	0.08	Fernie1990 Arch.
2416757.195	-1348	8.5566	0.08	Fernie1990 Arch.
2416893.985	-1340	8.3434	0.06	Parenago1956 Arch.
2417031.565	-1332	8.9202	0.08	Fernie1990 Arch.
2418127.295	-1268	8.6246	0.08	Fernie1990 Arch.
2418161.515	-1266	8.5938	0.08	Fernie1990 Arch.
2418707.175	-1234	6.241	0.08	Fernie1990 Arch.
2418742.345	-1232	7.1602	0.14	Parenago1956 Arch.
2418896.275	-1223	6.9616	0.08	Fernie1990 Arch.
2419033.775	-1215	7.4584	0.33	Parenago1956 Arch.
2419033.775	-1215	7.4584	0.08	Fernie1990 Arch.
2419256.625	-1202	7.6782	0.08	Fernie1990 Arch.
2419257.245	-1202	8.2982	0.08	Fernie1990 Arch.
2420386.245	-1136	7.0218	0.18	Parenago1956 Arch.
2420386.245	-1136	7.0218	0.08	Fernie1990 Arch.
2420404.225	-1135	7.8764	0.08	Fernie1990 Arch.
2421259.015	-1085	6.3964	0.1	Parenago1956 Arch.
2421259.165	-1085	6.5464	0.08	Fernie1990 Arch.
2423707.35	-942	5.7988	0.08	Fernie1990 Arch.
2423895.63	-931	5.6994	0.18	Parenago1956 Arch.
2423895.63	-931	5.6994	0.08	Fernie1990 Arch.
2423997.97	-925	5.287	0.06	Parenago1956 Arch.
2423998.12	-925	5.437	0.08	Fernie1990 Arch.
2424033.125	-923	6.1916	0.08	Fernie1990 Arch.
2424717.945	-883	5.9956	0.08	Fernie1990 Arch.
2425008.25	-866	5.1684	0.08	Fernie1990 Arch.
2425059.5	-863	5.0422	0.05	Parenago1956 Arch.
2425059.65	-863	5.1922	0.08	Fernie1990 Arch.
2425076.43	-862	4.8468	0.09	Parenago1956 Arch.
2425076.492	-862	4.9088	0.04	Szabados1989 Arch.
