HJD	Epoch	O-C	O-Cerr	Source
2416343.013	-2786	-0.8491	0.06	Szabados1989 Arch.
2418028.802	-2623	-0.6802	0.06	Szabados1989 Arch.
2419631.611	-2468	-0.7616	0.06	Szabados1989 Arch.
2421337.991	-2303	-0.6842	0.06	Szabados1989 Arch.
2423220.227	-2121	-0.5517	0.06	Szabados1989 Arch.
2424347.461	-2012	-0.5115	0.06	Szabados1989 Arch.
2429869.783	-1478	-0.4053	0.06	Szabados1989 Arch.
2431317.562	-1338	-0.3982	0.06	Szabados1989 Arch.
2432610.215	-1213	-0.3987	0.06	Szabados1989 Arch.
2433106.622	-1165	-0.3707	0.06	Szabados1989 Arch.
2433178.961	-1158	-0.4203	0.06	Szabados1989 Arch.
2434833.643	-998	-0.3347	0.06	Szabados1989 Arch.
2436725.913	-815	-0.5086	0.0715	Mitchell1964
2436767.463	-811	-0.3244	0.04	Szabados1989 Arch.
2437491.451	-741	-0.2223	0.04	Szabados1989 Arch.
2440748.989	-426	-0.1708	0.0098	Pel1976
2440842.057	-417	-0.1742	0.02	Szabados1989 Arch.
2441121.21	-390	-0.2341	0.0698	Pel1976
2444037.652	-108	-0.0184	0.0313	Moffett1984
2444068.958	-104	0.2641	0.1014	Berdnikov2008
2444285.778	-84	-0.0821	0.02	Szabados1989 Arch.
2444378.982	-74	0.0515	0.0078	Moffett1984
2444451.459	-67	0.1398	0.0157	Berdnikov2008
2444802.901	-34	-0.0205	0.0223	Berdnikov2008
2444823.741	-31	0.1373	0.0188	Moffett1984
2444947.644	-20	-0.0547	0.02	Szabados1989 Arch.
2445154.523	0	0.0	0.0132	Berdnikov2008
2445495.692	32	-0.0918	0.06	Szabados1989 Arch.
2445495.842	33	0.0583	0.0271	Berdnikov2008
2445868.004	68	-0.0634	0.0138	Berdnikov2008
2445878.338	69	-0.0712	0.02	Szabados1989 Arch.
2447398.409	216	-0.1607	0.0154	Berdnikov2008
2447957.224	271	0.2288	0.0167	Hipp
2448308.596	304	-0.0009	0.0148	Hipp
2448701.734	343	0.1695	0.0446	Hipp
2449931.924	461	-0.2467	0.0496	Berdnikov2008
2451958.978	657	-0.0727	0.0103	ASAS
2452434.669	703	-0.0784	0.0136	ASAS
2452755.127	734	-0.1987	0.0063	IOMC
2452776.071	737	0.063	0.0259	ASAS
2453096.605	768	0.0189	0.006	IOMC
2453117.281	770	0.0129	0.0088	ASAS
2453458.625	803	0.0957	0.0279	ASAS
2453479.172	804	-0.0394	0.0047	IOMC
2453799.836	836	0.0467	0.0236	ASAS
2453841.338	840	0.1832	0.0092	IOMC
2454161.831	871	0.0986	0.0245	ASAS
2454399.588	894	0.0077	0.0051	IOMC
2454534.142	907	0.1258	0.0236	ASAS
2454895.967	942	0.0076	0.0067	IOMC
2454906.37	943	0.069	0.0407	ASAS
2455444.283	995	0.2378	0.0142	Bochum
2455661.452	1016	0.2415	0.0558	KWS
2456043.939	1053	0.1029	0.0304	KWS
2456209.621	1069	0.3256	0.0087	Bochum
2456405.962	1088	0.1832	0.012	KWS
2456550.916	1102	0.3602	0.0304	Bochum
2456757.428	1122	0.0475	0.0108	Berdnikov2015
2456757.491	1122	0.1102	0.0164	KWS
2456892.178	1135	0.3615	0.0157	Bochum
2456912.422	1136	-0.0767	0.0835	Gaia-dr2
2457129.778	1158	0.1126	0.0111	KWS
2457419.409	1186	0.1897	0.0082	ASASSN-V
2457491.84	1193	0.2318	0.0131	KWS
2457801.981	1223	0.1363	0.0077	ASASSN-V
2457833.017	1226	0.1485	0.0102	KWS
2458174.359	1259	0.2305	0.0106	KWS
2458184.62	1260	0.1501	0.009	ASASSN-V
2458577.576	1298	0.1394	0.0314	KWS
