HJD	Epoch	O-C	O-Cerr	Source
2418354.17	-2247	0.1864	0.0484	AAVSO
2418713.327	-2214	0.1169	0.0913	AAVSO
2419061.776	-2182	0.2258	0.1093	AAVSO
2419410.163	-2150	0.2717	0.05	AAVSO
2419769.345	-2117	0.2276	0.0696	AAVSO
2420106.801	-2086	0.2289	0.06	Szabados1991 Arch.
2420117.702	-2085	0.2442	0.1077	AAVSO
2420465.985	-2053	0.1865	0.0487	AAVSO
2421532.921	-1955	0.3298	0.06	Szabados1991 Arch.
2426540.305	-1495	0.3185	0.06	Szabados1991 Arch.
2427106.357	-1443	0.3171	0.06	Szabados1991 Arch.
2428227.824	-1340	0.563	0.06	Szabados1991 Arch.
2428739.36	-1293	0.4738	0.06	Szabados1991 Arch.
2432766.42	-923	-0.1539	0.2232	Eggen1951
2432766.874	-923	0.3002	0.036	AAVSO
2432767.185	-923	0.6111	0.1812	Mitchell1964
2433082.678	-894	0.4207	0.02	Szabados1991 Arch.
2433115.296	-891	0.3814	0.0344	AAVSO
2433115.464	-891	0.5497	0.1853	Mitchell1964
2433115.469	-891	0.5547	0.0508	Eggen1951
2433518.046	-854	0.363	0.06	Szabados1991 Arch.
2434573.982	-757	0.3917	0.06	Szabados1991 Arch.
2434965.938	-721	0.4646	0.06	Szabados1991 Arch.
2435749.652	-649	0.4124	0.02	Szabados1991 Arch.
2436228.585	-605	0.3771	0.02	Szabados1991 Arch.
2436816.199	-551	0.1664	0.1726	Mitchell1964
2436816.399	-551	0.3667	0.0164	AAVSO
2436827.295	-550	0.3768	0.02	Szabados1991 Arch.
2437164.325	-519	-0.048	0.1794	Mitchell1964
2437164.708	-519	0.3345	0.0372	AAVSO
2437197.391	-516	0.361	0.02	Szabados1991 Arch.
2437926.775	-449	0.407	0.06	Szabados1991 Arch.
2439178.623	-334	0.4061	0.02	Szabados1991 Arch.
2439766.512	-280	0.4705	0.04	Szabados1991 Arch.
2440082.136	-251	0.4109	0.02	Szabados1991 Arch.
2440789.748	-186	0.4561	0.02	Szabados1991 Arch.
2441323.153	-137	0.4647	0.02	Szabados1991 Arch.
2442248.54	-52	0.5719	0.114	AAVSO
2442596.812	-20	0.5038	0.061	AAVSO
2442640.235	-16	0.3837	0.0206	Szabados1981
2442672.969	-13	0.4611	0.02	Szabados1991 Arch.
2443707.081	81	0.4371	0.02	Szabados1991 Arch.
2444099.037	117	0.5102	0.0289	Moffett1984
2444316.686	137	0.4461	0.02	Szabados1991 Arch.
2444458.172	150	0.4186	0.0144	Moffett1984
2444817.314	183	0.3347	0.0078	Moffett1984
2444937.188	194	0.4665	0.02	Szabados1991 Arch.
2445579.484	253	0.5094	0.0484	AAVSO
2445644.758	259	0.4699	0.0213	Berdnikov2008
2445677.355	262	0.4099	0.02	Szabados1991 Arch.
2445927.706	285	0.3912	0.0359	AAVSO
2446276.226	317	0.5711	0.0594	AAVSO
2446678.93	354	0.5062	0.0492	AAVSO
2446700.505	356	0.3095	0.06	Szabados1991 Arch.
2447048.762	388	0.2265	0.0486	AAVSO
2447125.152	395	0.4165	0.02	Szabados1991 Arch.
2447397.308	420	0.4313	0.0102	Berdnikov2008
2447419.046	422	0.3985	0.0774	AAVSO
2447745.632	452	0.4147	0.0138	Berdnikov2008
2447767.506	454	0.5173	0.0545	AAVSO
2448104.882	485	0.4387	0.0148	Berdnikov2008
2448180.93	492	0.2876	0.1115	AAVSO
2448496.712	521	0.386	0.0184	Berdnikov2008
2448845.044	553	0.3769	0.0116	Berdnikov2008
2449607.0	623	0.3386	0.0286	Berdnikov2008
2449955.341	655	0.3385	0.0834	Berdnikov2008
2449966.326	656	0.4375	0.0292	AAVSO
2450303.703	687	0.3597	0.0175	Berdnikov2008
2450314.695	688	0.4662	0.0296	AAVSO
2450663.063	720	0.4936	0.0373	AAVSO
2451011.521	752	0.611	0.0569	AAVSO
2451359.755	784	0.5046	0.0603	AAVSO
2451708.097	816	0.5059	0.0268	AAVSO
2452056.161	848	0.2298	0.0757	AAVSO
2452851.115	921	0.5316	0.0492	AAVSO
2453221.214	955	0.5188	0.0339	AAVSO
2453580.526	988	0.6044	0.0836	AAVSO
2453983.159	1025	0.4686	0.0331	AAVSO
2454331.324	1057	0.2938	0.0503	AAVSO
2454690.754	1090	0.4975	0.0641	AAVSO
2455038.965	1122	0.3679	0.0661	AAVSO
2455387.512	1154	0.5745	1.049	AAVSO
2455757.509	1188	0.459	0.011	KWS
2455757.522	1188	0.4724	0.1123	AAVSO
2456105.829	1220	0.4392	0.0103	KWS
2456475.98	1254	0.4784	0.0094	KWS
2456541.258	1260	0.4417	0.1124	AAVSO
2456846.093	1288	0.4796	0.0097	KWS
2456998.499	1302	0.4859	0.0136	ASASSN-V
2457216.192	1322	0.4662	0.0065	KWS
2457270.741	1327	0.5874	0.038	AAVSO
2457346.92	1334	0.5665	0.0195	ASASSN-V
2457597.2	1357	0.4771	0.0065	KWS
2457619.111	1359	0.6167	0.0355	AAVSO
2457695.25	1366	0.5563	0.0158	ASASSN-V
2457945.557	1389	0.4935	0.011	KWS
2457967.401	1391	0.5662	0.0327	AAVSO
2458043.627	1398	0.5926	0.0226	ASASSN-V
2458304.798	1422	0.5082	0.0065	KWS
2458315.706	1423	0.5306	0.0229	AAVSO
2458391.851	1430	0.4759	0.026	ASASSN-V
