HJD	Epoch	O-C	O-Cerr	Source
2396085.96	-2732	-1.3575	0.04	Szabados1991 Arch.
2396421.191	-2699	-1.1513	0.04	Berdnikov1999 Arch.
2396471.671	-2694	-1.4335	0.04	Szabados1991 Arch.
2396562.525	-2685	-1.9497	0.04	Szabados1991 Arch.
2396583.501	-2683	-1.2776	0.04	Berdnikov1999 Arch.
2397132.041	-2629	-0.9601	0.04	Berdnikov1999 Arch.
2397152.022	-2627	-1.2837	0.04	Szabados1991 Arch.
2397457.04	-2597	-0.8342	0.04	Szabados1991 Arch.
2397517.472	-2591	-1.3154	0.04	Szabados1991 Arch.
2397670.091	-2576	-0.9804	0.04	Berdnikov1999 Arch.
2397872.954	-2556	-1.163	0.04	Szabados1991 Arch.
2398238.861	-2520	-0.7377	0.04	Szabados1991 Arch.
2398451.951	-2499	-0.8451	0.04	Berdnikov1999 Arch.
2398533.809	-2491	-0.2053	0.04	Szabados1991 Arch.
2398584.001	-2486	-0.7749	0.04	Szabados1991 Arch.
2398766.781	-2468	-0.7354	0.04	Berdnikov1999 Arch.
2398766.991	-2468	-0.5254	0.04	Berdnikov1999 Arch.
2398980.235	-2447	-0.4793	0.04	Szabados1991 Arch.
2399314.951	-2414	-0.7883	0.04	Szabados1991 Arch.
2399630.189	-2383	-0.2704	0.04	Szabados1991 Arch.
2399721.264	-2374	-0.5658	0.04	Szabados1991 Arch.
2399853.331	-2361	-0.4782	0.04	Berdnikov1999 Arch.
2399853.501	-2361	-0.3082	0.04	Berdnikov1999 Arch.
2400097.433	-2337	-0.0314	0.04	Szabados1991 Arch.
2400950.251	-2253	-0.0033	0.04	Berdnikov1999 Arch.
2401924.997	-2157	0.1241	0.04	Szabados1991 Arch.
2402047.121	-2145	0.4217	0.04	Berdnikov1999 Arch.
2402229.369	-2128	-0.0716	0.1099	AAVSO
2402310.88	-2119	0.221	0.04	Szabados1991 Arch.
2402575.081	-2093	0.4629	0.1094	AAVSO
2402595.171	-2091	0.2491	0.04	Berdnikov1999 Arch.
2402646.152	-2086	0.4686	0.04	Szabados1991 Arch.
2402930.37	-2058	0.4231	0.2601	AAVSO
2402991.089	-2052	0.2281	0.04	Szabados1991 Arch.
2403143.861	-2037	0.7166	0.04	Berdnikov1999 Arch.
2403702.119	-1982	0.5995	0.1658	AAVSO
2403783.037	-1974	0.2997	0.04	Szabados1991 Arch.
2404047.818	-1948	1.1215	0.1217	AAVSO
2404088.129	-1944	0.8229	0.04	Szabados1991 Arch.
2404240.161	-1929	0.5716	0.04	Berdnikov1999 Arch.
2404240.171	-1929	0.5816	0.04	Berdnikov1999 Arch.
2404240.281	-1929	0.6916	0.04	Berdnikov1999 Arch.
2404240.431	-1929	0.8416	0.04	Berdnikov1999 Arch.
2404392.58	-1914	0.7056	0.1941	AAVSO
2404463.749	-1907	0.8091	0.04	Szabados1991 Arch.
2404605.923	-1893	0.852	0.04	Szabados1991 Arch.
2404758.227	-1878	0.8718	0.1505	AAVSO
2404828.914	-1871	0.4924	0.04	Szabados1991 Arch.
2405103.197	-1844	0.6642	0.1972	AAVSO
2405164.382	-1838	0.9352	0.04	Szabados1991 Arch.
2405336.871	-1821	0.8365	0.04	Berdnikov1999 Arch.
2405336.921	-1821	0.8865	0.04	Berdnikov1999 Arch.
2405448.688	-1810	0.9778	0.0957	AAVSO
2405550.212	-1800	0.9791	0.04	Szabados1991 Arch.
2405804.149	-1775	1.1094	0.1606	AAVSO
2405925.579	-1763	0.7123	0.04	Szabados1991 Arch.
2406433.621	-1713	1.1415	0.04	Berdnikov1999 Arch.
2407347.601	-1623	1.4173	0.04	Berdnikov1999 Arch.
2409012.421	-1459	1.2651	0.04	Berdnikov1999 Arch.
2410007.485	-1361	1.4059	0.04	Szabados1991 Arch.
2411357.831	-1228	1.501	0.04	Berdnikov1999 Arch.
2411906.371	-1174	1.8185	0.04	Berdnikov1999 Arch.
2413550.601	-1012	1.3809	0.04	Berdnikov1999 Arch.
2413561.637	-1011	2.2641	0.04	Szabados1991 Arch.
2413947.915	-973	2.7559	0.04	Szabados1991 Arch.
2413977.381	-970	1.7648	0.04	Szabados1991 Arch.
2414099.401	-958	1.9584	0.04	Berdnikov1999 Arch.
2414333.187	-935	2.242	0.04	Szabados1991 Arch.
2414373.231	-931	1.6771	0.04	Berdnikov1999 Arch.
2414475.719	-921	2.6422	0.04	Szabados1991 Arch.
2414485.322	-920	2.0929	0.04	Szabados1991 Arch.
2415318.384	-838	2.6688	0.04	Szabados1991 Arch.
2415602.727	-810	2.7481	0.04	Szabados1991 Arch.
