HJD	Epoch	O-C	O-Cerr	Source
2411806.503	-813	11.6784	0.4383	AAVSO
2412090.853	-805	11.6182	0.4985	AAVSO
2412374.198	-797	10.5528	0.33	AAVSO
2412659.622	-789	11.5655	0.6034	AAVSO
2412942.775	-781	10.3086	0.552	AAVSO
2413226.652	-773	9.7749	0.4401	AAVSO
2413511.135	-765	9.8476	0.3766	AAVSO
2413795.974	-757	10.2768	1.266	AAVSO
2414505.339	-737	8.6155	0.6118	AAVSO
2414788.954	-729	7.8202	0.8106	AAVSO
2415110.121	-720	9.025	0.7078	AAVSO
2415394.45	-712	8.9439	0.3483	AAVSO
2415678.541	-704	8.6244	0.587	AAVSO
2415964.001	-696	9.6743	0.5769	AAVSO
2416247.646	-688	8.9086	0.9282	AAVSO
2416568.154	-679	9.4547	0.3094	AAVSO
2416888.388	-670	9.7276	0.3661	AAVSO
2417172.791	-662	9.7195	0.9677	AAVSO
2417633.555	-649	8.3168	0.3186	AAVSO
2417919.01	-641	9.3621	0.8037	AAVSO
2418238.375	-632	8.7645	0.3026	AAVSO
2418593.931	-622	8.8075	0.5222	AAVSO
2418877.644	-614	8.1108	0.4517	AAVSO
2419162.332	-606	8.3885	0.6961	AAVSO
2419446.274	-598	7.9192	0.2701	AAVSO
2419730.89	-590	8.1256	0.735	AAVSO
2420263.676	-575	7.6418	0.2041	AAVSO
2421576.149	-538	4.7171	2.1822	AAVSO
2421862.493	-530	6.6506	1.0265	AAVSO
2422144.436	-522	4.183	1.0554	AAVSO
2422429.839	-514	5.1759	0.7467	AAVSO
2422713.826	-506	4.7521	0.4062	AAVSO
2422998.572	-498	5.0873	0.327	AAVSO
2423283.071	-490	5.1761	0.447	AAVSO
2423567.441	-482	5.1357	0.3182	AAVSO
2423852.152	-474	5.4363	0.3283	AAVSO
2424136.541	-466	5.4153	0.2622	AAVSO
2424491.504	-456	4.8648	0.6364	AAVSO
2426090.06	-411	3.6123	1.8745	AAVSO
2426374.388	-403	3.5302	0.5273	AAVSO
2426658.357	-395	3.0885	0.545	AAVSO
2426943.139	-387	3.4603	1.0444	AAVSO
2427511.337	-371	2.8375	1.0115	AAVSO
2427795.408	-363	2.4983	0.4646	AAVSO
2428080.779	-355	3.4588	0.3721	AAVSO
2428364.4	-347	2.6696	0.3997	AAVSO
2428649.051	-339	2.9098	0.2732	AAVSO
2428933.159	-331	2.6073	0.2513	AAVSO
2429217.273	-323	2.3115	0.2349	AAVSO
2429501.348	-315	1.9761	0.3553	AAVSO
2429785.84	-307	2.0572	0.3621	AAVSO
2430070.448	-299	2.2551	0.2609	AAVSO
2430354.38	-291	1.7767	0.377	AAVSO
2430639.218	-283	2.2047	0.3136	AAVSO
2430924.03	-275	2.6057	0.5054	AAVSO
2431207.828	-267	1.9933	0.5056	AAVSO
2431493.061	-259	2.8164	0.3722	AAVSO
2431776.642	-251	1.9862	0.4106	AAVSO
2432061.21	-243	2.144	0.5582	AAVSO
2432345.578	-235	2.102	0.4624	AAVSO
2432629.985	-227	2.0982	0.4442	AAVSO
2432914.639	-219	2.3425	0.2957	AAVSO
2433199.63	-211	2.923	0.4657	AAVSO
2433482.453	-203	1.3349	1.1599	AAVSO
2433732.11	-196	2.1336	0.1638	Mitchell1964
2433767.463	-195	1.9348	0.4013	AAVSO
2433803.04	-194	1.9603	0.03	Szabados1989 Arch.
2434052.447	-187	2.5088	0.3643	AAVSO
2434336.052	-179	1.7035	0.633	AAVSO
2434442.481	-176	1.4786	0.1008	Mitchell1964
2434620.38	-171	1.6207	0.4923	AAVSO
2434762.294	-167	1.3292	0.03	Szabados1989 Arch.
2434797.931	-166	1.4154	0.0682	Mitchell1964
